category,joined,brand,product,shade,shade_description,shade_description_original,img_url,discontinued,clean,bipoc-founded,skin_tones_1,skin_tones_2,undertones_1,finish_1,finish_2,finish_3,descriptor_1,descriptor_2,intensity_1,intensity_2,intensity_3,muted_1,muted_2,shimmer_1,shimmer_2,shimmer_3,adaptive
blush,mac cosmetics extra dimension blush faux sure!,mac cosmetics,extra dimension blush,faux sure!,pink mauve,warm pinky mauve,https://www.mac.com/media/export/cms/products/smoosh_v2/mac_smoosh_S7GR08.jpg,,,,,,warm,,,,,,,,,,,,,,
blush,"mac cosmetics glow play blush blush, please",mac cosmetics,glow play blush,"blush, please",mauve,neutral light mauve,,,,,,,neutral,,,,,,light,,,,,,,,
blush,made by mitchell blursh liquid blusher a shy boy,made by mitchell,blursh liquid blusher,a shy boy,pink mauve,pink mauve,,,,,,,,,,,,,,,,,,,,,
blush,made by mitchell blursh liquid blusher cherry cola,made by mitchell,blursh liquid blusher,cherry cola,mauve,deep muted mauve,,,,,,,,,,,,,deep,,,muted,,,,,
blush,made by mitchell blursh liquid blusher very berry,made by mitchell,blursh liquid blusher,very berry,berry mauve,deep berry mauve,https://www.makebeauty.com/cdn/shop/products/MAKE_PDP_Swatches_MysticMauve_1090x1244.jpg?v=1680216041,,,,,,,,,,,,deep,,,,,,,,
blush,make beauty skin mimetic microsuede blush matte powder blush mystic mauve,make beauty,skin mimetic microsuede blush matte powder blush,mystic mauve,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
blush,makeup by mario soft pop blush stick dusty rose,makeup by mario,soft pop blush stick,dusty rose,rose mauve,neutral rosey mauve,,,,,,,neutral,,,,,,,,,,,,,,
blush,makeup revolution blush & lift liquid blush harmony,makeup revolution,blush & lift liquid blush,harmony,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
blush,makeup revolution cheek & lip tint duo stick dreamboat,makeup revolution,cheek & lip tint duo stick,dreamboat,mauve,neutral mauve,https://cdn.shopify.com/s/files/1/2235/4359/products/manasi-7-all-over-colour-sisserou-002_1800x.jpg?v=1683535229,,,,,,neutral,,,,,,,,,,,,,,
blush,manasi 7 all over colour sisserou,manasi 7,all over colour,sisserou,mauve,dusty mauve,https://cdn.shopify.com/s/files/1/2235/4359/products/manasi-7-all-over-colour-sisserou-002_1800x.jpg?v=1715595629,,,TRUE,,,,,,,,,,,,dusty,,,,,
blush,maréna beauté blush tarou garmi,maréna beauté,blush tarou,garmi,rose mauve,matte midtone rose mauve perfect for medium to tanned skin tones,"https://images.ulta.com/is/image/Ulta/2510253?id=1Y2av2&fmt=jpg&fit=constrain,1&wid=260&hei=280&op_sharpen=1&resMode=bilin",,,,medium to tan,,,matte,,,,,midtone,,,,,,,,
blush,maybelline fit me blush 20 mauve,maybelline,fit me blush,20 mauve,mauve,mauve,https://www.sephora.com/productimages/sku/s2237733-main-zoom.jpg?imwidth=1000,,,,,,,,,,,,,,,,,,,,
blush,milk makeup glow oil lip + cheek glimmer,milk makeup,glow oil lip + cheek,glimmer,mauve,mauve shimmer,,,TRUE,,,,,shimmer,,,,,,,,,,,,,
blush,mineral fusion blush airy,mineral fusion,blush,airy,mauve,mauve shimmer,,,,,,,,shimmer,,,,,,,,,,,,,
blush,mob beauty cream clay blush m73,mob beauty,cream clay blush,m73,rose mauve,rose mauve,,,TRUE,,,,,,,,,,,,,,,,,,
blush,morphe huephoric rush 3-in-1 silk blush intoxicated,morphe,huephoric rush 3-in-1 silk blush,intoxicated,rose mauve,rose mauve,https://www.morphe.com/cdn/shop/files/Morphe-2024-Huephoric-Shades-Intoxicated.jpg?v=1717350375,,,,,,,,,,,,,,,,,,,,
blush,nabla blossom blush regal mauve,nabla,blossom blush,regal mauve,mauve,mauve with a subtle gold satin effect,https://www.sephora.com/productimages/sku/s2417640-av-01-zoom.jpg?imwidth=612,,,,,,,satin,,,,,,,,,,subtle gold,,,
blush,nars air matte sheer cream blush freedom,nars,air matte sheer cream blush,freedom,mauve,sheer matte mauve,https://www.sephora.com/productimages/sku/s2297018-main-zoom.jpg?imwidth=1000,,,,,,,sheer,matte,,,,,,,,,,,,
blush,nars blush behave,nars,blush,behave,pink mauve,matte pink mauve,https://weareneen.com/cdn/shop/files/NEEN_GOING_ROUGE_CREAM_CHEEK_LIP_GEM_HERO_800x800_crop_center.jpg?v=1686010234,,,,,,,matte,,,,,,,,,,,,,
blush,neen going rouge cheek & lip cream gem,neen,going rouge cheek & lip cream,gem,mauve,deep mauve,https://weareneen.com/cdn/shop/files/NEEN_GOING_ROUGE_CREAM_CHEEK_LIP_GO_HERO_800x800_crop_center.jpg?v=1686010226,,,,,,,,,,,,deep,,,,,,,,
blush,neen going rouge cheek & lip cream go,neen,going rouge cheek & lip cream,go,nude mauve,nude brown mauve,,,,,,,,,,,,,,,,,,,,,
blush,nudestix intense matte lip + cheek pencil belle,nudestix,intense matte lip + cheek pencil,belle,rose mauve,cool rosey mauve with matte finish,"https://images.ulta.com/is/image/Ulta/2565793?id=mUWag0&fmt=jpg&fit=constrain,1&wid=260&hei=257&op_sharpen=1&resMode=bilin",,TRUE,,,,cool,matte,,,,,,,,,,,,,
blush,persona super blush carmel,persona,super blush,carmel,rose mauve,rosey mauve,,,,,,,,,,,,,,,,,,,,,
blush,phase zero makeup powder blusher summer rain,phase zero makeup,powder blusher,summer rain,golden mauve,mauve with golden undertones,,,,,,,golden,,,,,,,,,,,,,,
blush,physicians formula triple defense multicolor stick spf 20 true mauve,physicians formula,triple defense multicolor stick spf 20,true mauve,mauve,true mauve,https://m.media-amazon.com/images/I/71iwX-0I+YL._SX679_.jpg,,,,,,,,,,true,,,,,,,,,,
blush,r.e.m. beauty eclipse blush & lip stick opening night,r.e.m. beauty,eclipse blush & lip stick,opening night,mauve,true mauve,https://media.ulta.com/i/ulta/2595433_sm?w=1080&h=1080&fmt=auto,,,,,,,,,,true,,,,,,,,,,
blush,rare beauty by selena gomez soft pinch liquid blush believe,rare beauty by selena gomez,soft pinch liquid blush,believe,mauve,true mauve,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/xJTS2nQmDPn7m1uvUili/pub/kamfMdGjm96jRbnnUk4X.webp,,,TRUE,,,,,,,true,,,,,,,,,,
blush,rare beauty by selena gomez soft pinch liquid blush grace,rare beauty by selena gomez,soft pinch liquid blush,grace,rose mauve,matte bright rose mauve,,,,TRUE,,,,matte,,,,,bright,,,,,,,,
blush,rare beauty by selena gomez soft pinch liquid blush hope,rare beauty by selena gomez,soft pinch liquid blush,hope,nude mauve,nude mauve,https://www.sephora.com/productimages/sku/s2748325-main-zoom.jpg?imwidth=1224,,,TRUE,,,,,,,,,,,,,,,,,
blush,rare beauty by selena gomez soft pinch luminous powder blush hope,rare beauty by selena gomez,soft pinch luminous powder blush,hope,nude mauve,nude mauve,,,,TRUE,,,,,,,,,,,,,,,,,
blush,rare beauty by selena gomez stay vulnerable melting cream blush nearly mauve,rare beauty by selena gomez,stay vulnerable melting cream blush,nearly mauve,mauve,true mauve,https://www.sephora.com/productimages/sku/s2418655-av-14-zoom.jpg?imwidth=1224,,,TRUE,,,,,,,true,,,,,,,,,,
blush,rituel de fille inner glow creme pigment desire,rituel de fille,inner glow creme pigment,desire,mauve,mauve,,,TRUE,,,,,,,,,,,,,,,,,,
blush,rms beauty redimension hydra powder blush kir royale,rms beauty,redimension hydra powder blush,kir royale,mauve,mauve surprise,,,TRUE,,,,,,,,,,,,,,,,,,
blush,rose inc cream blush refillable cheek & lip color camellia,rose inc,cream blush refillable cheek & lip color,camellia,mauve,mauve,,,TRUE,,,,,,,,,,,,,,,,,,
blush,saie dew blush liquid cheek blush chilly,saie,dew blush liquid cheek blush,chilly,mauve,cool mauve,,,TRUE,,,,cool,,,,,,,,,,,,,,
blush,saie glow sculpt multi-use cream highlighting blush mauveglow,saie,glow sculpt multi-use cream highlighting blush,mauveglow,mauve,cool mauve,,,TRUE,,,,cool,,,,,,,,,,,,,,
blush,smashbox halo cheek palette radiant rose putty,smashbox,halo cheek palette,radiant rose putty,mauve,cool mauve,,,,,,,cool,,,,,,,,,,,,,,
blush,smashbox halo sheer to stay cream cheek + lip tint wisteria,smashbox,halo sheer to stay cream cheek + lip tint,wisteria,mauve,cool mauve,https://is4.revolveassets.com/images/p4/n/z/SUMR-WU46_V2.jpg,,,,,,cool,,,,,,,,,,,,,,
blush,summer fridays blush balm lip + cheek stick with hyaluronic acid dusty rose,summer fridays,blush balm lip + cheek stick with hyaluronic acid,dusty rose,mauve,dusk-inspired soft mauve,https://is4.revolveassets.com/images/p4/n/z/SUMR-WU46_V2.jpg,,,,,,,,,,,,soft,,,dusk-inspired,,,,,
blush,temptu s/b blush blush 040,temptu,s/b blush,blush 040,mauve,neutral universal mauve for fair to light skin tones,https://www.sephora.com/productimages/sku/s2593804-main-zoom.jpg?imwidth=612,,,,fair to light,,neutral,,,,,,,,,,,,,,
blush,tower 28 beauty beachplease lip + cheek balm office hours,tower 28 beauty,beachplease lip + cheek balm,office hours,mauve,sun-kissed mauve,"https://images.ulta.com/is/image/Ulta/2526720?id=ekfbd3&fmt=jpg&fit=constrain,1&wid=260&hei=259&op_sharpen=1&resMode=bilin",,TRUE,TRUE,,,,,,,sun-kissed,,,,,,,,,,
blush,ulta flushed blush retro rose,ulta,flushed blush,retro rose,mauve,mauve with shimmer,"https://images.ulta.com/is/image/Ulta/2556120?id=3gXaX3&fmt=jpg&fit=constrain,1&wid=260&hei=274&op_sharpen=1&resMode=bilin",,,,,,,shimmer,,,,,,,,,,,,,
blush,ulta lip & cheek color stick spicy,ulta,lip & cheek color stick,spicy,mauve,mauve with slight shimmer,"https://images.ulta.com/is/image/Ulta/2511242?id=X78b62&fmt=jpg&fit=constrain,1&wid=260&hei=259&op_sharpen=1&resMode=bilin",,,,,,,shimmer,,,,,,,,,,slight,,,
blush,ulta mineral blush calla lily,ulta,mineral blush,calla lily,mauve,medium mauve with slight shimmer,,,,,,,,shimmer,,,,,medium,slight,,,,slight,,,
blush,ulta too cheeky lip & cheek color stick spicy,ulta,too cheeky lip & cheek color stick,spicy,mauve,mauve with slight shimmer,,,,,,,,shimmer,,,,,,,,,,slight,,,
blush,urban decay hydromaniac dewy liquid blush unhinged,urban decay,hydromaniac dewy liquid blush,unhinged,berry mauve,berry mauve,,,,,,,,,,,,,,,,,,,,,
blush,valentino liquirosso 2 in 1 soft matte liquid lipstick & blush 110a into the nude,valentino,liquirosso 2 in 1 soft matte liquid lipstick & blush,110a into the nude,nude mauve,nude mauve,,,,,,,,,,,,,,,,,,,,,
blush,victoria beckham beauty cheeky posh fame,victoria beckham beauty,cheeky posh,fame,rose mauve,rosy mauve,,,,,,,,,,,,,,,,,,,,,
blush,winky lux cheeky rose cream blush dodgy,winky lux,cheeky rose cream blush,dodgy,mauve,neutral mauve,,,,,,,neutral,,,,,,,,,,,,,,
blush,yensa super serum silk cream blush moody mauve,yensa,super serum silk cream blush,moody mauve,peach mauve,dusty peachy mauve,https://yensa.com/cdn/shop/products/Blush_Shade_Chart-Moddy_Mauve.jpg?v=1697746931,,,TRUE,,,,,,,,,,,,dusty,,,,,
lipliner,about-face matte fix lip pencil little little,about-face,matte fix lip pencil,little little,mauve,matte mauve,,,TRUE,,,,,matte,,,,,,,,,,,,,
lipliner,about-face matte fix lip pencil midnight seduction,about-face,matte fix lip pencil,midnight seduction,mauve,matte soft mauve,,,TRUE,,,,,matte,,,,,soft,,,,,,,,
lipliner,becca cosmetics ultimate lip definer breezy,becca cosmetics,ultimate lip definer,breezy,mauve,toasty mauve,,,,,,,,,,,toasty,,,,,,,,,,
lipliner,bobbi brown lip liner pencil pink mauve,bobbi brown,lip liner pencil,pink mauve,rose mauve,medium rosy mauve.,,,,,,,,,,,,,medium,,,,,,,,
lipliner,bperfect cosmetics poutline lip liner french kiss,bperfect cosmetics,poutline lip liner,french kiss,pink mauve,mauve with a pink undertone,,,,,,,pink,,,,,,,,,,,,,,
lipliner,buxom plumpline lip liner dangerous dolly,buxom,plumpline lip liner,dangerous dolly,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
lipliner,buxom plumpline lip liner dolly danger,buxom,plumpline lip liner,dolly danger,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
lipliner,buxom power line plumping lip liner dangerous dolly,buxom,power line plumping lip liner,dangerous dolly,mauve,mauve,"https://images.ulta.com/is/image/Ulta/2504589?id=t53ax1&fmt=jpg&fit=constrain,1&wid=68&hei=358&op_sharpen=1&resMode=bilin",,,,,,,,,,,,,,,,,,,,
lipliner,colourpop lippie pencil dopey,colourpop,lippie pencil,dopey,mauve,dusty mauve,https://colourpop.com/cdn/shop/files/Cool-BFF-Lippie-Pencil-Macro.jpg?format=pjpg&v=1689726904&width=988,,,,,,,,,,,,,,,dusty,,,,,
lipliner,ctzn cosmetics lipstroke waterproof lip liner chaar,ctzn cosmetics,lipstroke waterproof lip liner,chaar,brown mauve,dusky mauve with brown undertones,https://target.scene7.com/is/image/Target/GUEST_6d30b45b-ce09-4167-be17-cc1adb0780c8?wid=700&hei=700&qlt=80&fmt=webp,,,TRUE,,,brown,,,,,,,,,dusky,,,,,
lipliner,dominique cosmetics creamy fill & define lip liner crush,dominique cosmetics,creamy fill & define lip liner,crush,mauve,mauve,https://dollbeauty.com/app/uploads/2020/06/Run-the-World.jpg,,,,,,,,,,,,,,,,,,,,
lipliner,e.l.f. cosmetics cream glide lip liner pencil mauve aside,e.l.f. cosmetics,cream glide lip liner pencil,mauve aside,rose mauve,warm rose mauve,,,,,,,warm,,,,,,,,,,,,,,
lipliner,emolyne cosmetics defining lip mozambique,emolyne cosmetics,defining lip,mozambique,mauve,"cool mauve recommended for fair neutral, olive cool skin tones",https://cdn.emolyne.com/wp-content/uploads/2024/03/Emolyne-Defining-Lip_Mozambique-02-1-1440x1912.jpg.webp,,,TRUE,fair neutral,olive cool,cool,,,,,,,,,,,,,,
lipliner,emolyne cosmetics defining lip uganda,emolyne cosmetics,defining lip,uganda,mauve,deep mauve recommended for olive cool skin tones,,,,TRUE,olive cool,,,,,,,,deep,,,,,,,,
lipliner,estée lauder double wear 24h stay-in-place lip liner 17 mauve,estée lauder,double wear 24h stay-in-place lip liner,17 mauve,mauve,rich mauve with a neutral undertone,,,,,,,neutral,,,,,,rich,,,,,,,,
lipliner,flower beauty perfect pout sculpting lip liner rosewood,flower beauty,perfect pout sculpting lip liner,rosewood,mauve,warm deep mauve,,,,,,,warm,,,,,,deep,,,,,,,,
