shade_id,image_file,color_family,undertone,finish,L_star,a_star,b_star,hue_deg,saturation,brightness
S051,IMG_051.png,Orange,Warm,Matte,55.77,29.1,41.97,55.27,94.22,56.81
S052,IMG_052.png,Nude,Cool,Matte,66.98,6.03,6.32,46.34,37.95,65.62
S053,IMG_053.png,Brown,Warm,Satin,46.54,21.64,18.28,40.19,70.67,49.24
S054,IMG_054.png,Berry,Neutral,Glossy,38.43,30.6,-6.44,348.11,72.6,40.04
S055,IMG_055.png,Coral,Neutral,Matte,51.76,40.37,27.34,34.11,84.48,53.61
S056,IMG_056.png,Plum,Cool,Matte,28.58,26.73,-11.04,337.55,73.46,29.31
S057,IMG_057.png,Mauve,Cool,Satin,58.4,23.34,5.83,14.02,65.81,59.1
S058,IMG_058.png,Plum,Neutral,Matte,35.42,30.8,-2.62,355.14,69.77,36.08
S059,IMG_059.png,Red,Neutral,Satin,35.46,31.64,12.41,21.42,75.09,34.88
S060,IMG_060.png,Orange,Neutral,Matte,54.23,31.74,35.96,48.57,91.34,54.6
S061,IMG_061.png,Orange,Warm,Satin,53.15,30.03,45.0,56.28,100.0,53.33
S062,IMG_062.png,Mauve,Warm,Satin,50.98,21.1,11.34,28.25,69.68,53.15
S063,IMG_063.png,Berry,Cool,Matte,40.15,42.68,-13.23,342.78,79.2,37.16
S064,IMG_064.png,Nude,Neutral,Matte,57.68,8.49,1.18,7.9,46.71,62.52
S065,IMG_065.png,Coral,Cool,Satin,48.63,36.51,26.44,35.91,93.55,49.32
S066,IMG_066.png,Brown,Cool,Matte,45.39,23.14,4.95,12.08,72.71,45.0
S067,IMG_067.png,Coral,Neutral,Matte,58.79,39.29,35.82,42.36,96.68,56.91
S068,IMG_068.png,Coral,Warm,Matte,48.61,41.19,30.24,36.28,84.23,47.03
S069,IMG_069.png,Mauve,Warm,Satin,50.92,23.73,4.49,10.72,61.53,52.34
S070,IMG_070.png,Mauve,Neutral,Glossy,55.34,26.48,13.18,26.45,72.1,54.73
S071,IMG_071.png,Mauve,Warm,Matte,46.67,24.65,9.83,21.74,65.36,48.47
S072,IMG_072.png,Orange,Cool,Matte,56.08,32.74,33.95,46.04,91.54,56.61
S073,IMG_073.png,Pink,Neutral,Glossy,68.02,36.24,6.74,10.53,82.36,63.2
S074,IMG_074.png,Brown,Warm,Satin,33.57,18.57,30.19,58.4,74.8,34.04
S075,IMG_075.png,Red,Warm,Matte,55.93,33.74,17.48,27.39,79.2,57.55
S076,IMG_076.png,Plum,Neutral,Glossy,38.09,27.11,-1.63,356.56,66.74,36.82
S077,IMG_077.png,Mauve,Warm,Matte,41.89,27.69,3.2,6.6,63.54,42.78
S078,IMG_078.png,Plum,Warm,Satin,39.28,31.21,-5.96,349.19,72.75,39.35
S079,IMG_079.png,Plum,Neutral,Matte,31.8,27.94,-1.19,357.57,65.56,26.97
S080,IMG_080.png,Coral,Neutral,Glossy,55.57,28.32,26.45,43.05,81.19,55.19
S081,IMG_081.png,Berry,Cool,Matte,33.03,41.5,4.78,6.57,84.26,32.75
S082,IMG_082.png,Pink,Neutral,Glossy,52.38,21.35,8.82,22.45,63.46,56.07
S083,IMG_083.png,Red,Neutral,Matte,48.52,43.6,13.65,17.39,91.14,50.95
S084,IMG_084.png,Pink,Neutral,Glossy,59.89,25.49,6.29,13.86,68.47,56.48
S085,IMG_085.png,Orange,Warm,Satin,44.61,33.92,42.86,51.64,93.54,46.28
S086,IMG_086.png,Mauve,Cool,Glossy,54.31,27.1,-0.98,357.93,73.91,55.56
S087,IMG_087.png,Plum,Neutral,Glossy,31.99,27.82,-10.4,339.51,76.63,34.99
S088,IMG_088.png,Plum,Neutral,Glossy,36.88,28.77,-3.24,353.58,60.59,35.23
S089,IMG_089.png,Mauve,Cool,Matte,46.51,23.99,6.31,14.73,62.14,46.4
S090,IMG_090.png,Nude,Cool,Satin,56.54,18.79,10.81,29.91,63.78,57.94
S091,IMG_091.png,Red,Cool,Satin,37.7,34.18,15.53,24.43,76.19,37.51
S092,IMG_092.png,Berry,Neutral,Matte,33.02,33.39,5.31,9.03,78.6,34.55
S093,IMG_093.png,Coral,Neutral,Satin,58.35,40.74,27.06,33.59,95.19,58.67
S094,IMG_094.png,Nude,Cool,Matte,52.28,4.76,16.16,73.58,53.43,48.56
S095,IMG_095.png,Coral,Warm,Satin,61.1,36.14,26.81,36.56,88.0,59.07
S096,IMG_096.png,Nude,Neutral,Glossy,68.82,11.4,20.28,60.66,68.78,69.7
S097,IMG_097.png,Mauve,Neutral,Matte,55.82,26.7,-5.92,347.5,70.51,54.71
S098,IMG_098.png,Pink,Warm,Satin,70.37,36.8,14.25,21.16,83.46,70.78
S099,IMG_099.png,Brown,Cool,Satin,32.18,14.74,8.64,30.36,63.27,32.21
S100,IMG_100.png,Brown,Warm,Glossy,38.78,9.59,17.5,61.28,55.7,39.8
S101,IMG_101.png,Red,Warm,Matte,50.97,47.3,26.4,29.17,95.36,48.81
S102,IMG_102.png,Orange,Neutral,Satin,67.72,35.5,37.34,46.45,90.45,67.09
S103,IMG_103.png,Plum,Cool,Satin,36.52,27.48,-15.0,331.37,72.43,37.01
S104,IMG_104.png,Coral,Cool,Glossy,55.11,45.19,17.84,21.54,84.13,55.17
S105,IMG_105.png,Orange,Neutral,Satin,43.96,31.98,45.0,54.6,95.09,43.2
S106,IMG_106.png,Red,Warm,Satin,43.04,49.14,29.3,30.81,100.0,43.11
S107,IMG_107.png,Berry,Warm,Matte,44.19,50.0,6.3,7.18,100.0,43.47
S108,IMG_108.png,Brown,Neutral,Matte,40.19,16.39,16.07,44.43,66.93,41.04
S109,IMG_109.png,Nude,Warm,Matte,53.35,15.71,19.81,51.59,71.97,50.66
S110,IMG_110.png,Red,Neutral,Satin,44.72,43.39,12.96,16.63,93.44,44.85
S111,IMG_111.png,Brown,Cool,Matte,38.67,14.48,9.35,32.85,63.7,36.45
S112,IMG_112.png,Coral,Warm,Matte,59.73,44.22,28.33,32.64,89.25,58.07
S113,IMG_113.png,Red,Cool,Matte,43.13,47.25,8.94,10.72,95.29,40.06
S114,IMG_114.png,Coral,Neutral,Satin,57.12,45.94,24.89,28.45,100.0,56.66
S115,IMG_115.png,Brown,Cool,Glossy,35.49,16.99,15.55,42.48,70.27,37.8
S116,IMG_116.png,Nude,Warm,Matte,65.18,22.82,9.4,22.4,62.81,65.41
S117,IMG_117.png,Nude,Neutral,Satin,60.98,18.07,14.84,39.39,66.1,60.99
S118,IMG_118.png,Brown,Warm,Satin,49.88,16.55,21.99,53.03,69.83,51.76
S119,IMG_119.png,Red,Warm,Matte,47.94,48.0,24.11,26.67,100.0,42.08
S120,IMG_120.png,Pink,Warm,Satin,49.66,32.26,14.09,23.6,75.16,52.4
S121,IMG_121.png,Nude,Neutral,Satin,64.45,24.08,16.66,34.67,67.2,64.23
S122,IMG_122.png,Berry,Cool,Glossy,40.47,34.29,-0.02,359.96,76.3,40.25
S123,IMG_123.png,Coral,Warm,Matte,51.75,43.52,30.94,35.41,100.0,52.68
S124,IMG_124.png,Red,Neutral,Matte,49.41,43.87,21.16,25.75,86.56,50.08
S125,IMG_125.png,Brown,Warm,Satin,37.1,19.35,27.23,54.6,83.32,36.88
S126,IMG_126.png,Brown,Neutral,Satin,40.73,15.65,20.12,52.11,67.74,39.27
S127,IMG_127.png,Brown,Neutral,Matte,42.04,18.35,14.13,37.59,69.25,42.8
S128,IMG_128.png,Red,Neutral,Matte,42.0,33.72,12.77,20.75,74.56,42.1
S129,IMG_129.png,Berry,Cool,Matte,44.04,39.58,-4.66,353.28,73.3,43.31
S130,IMG_130.png,Mauve,Neutral,Matte,51.97,30.23,8.94,16.47,75.69,50.97
S131,IMG_131.png,Coral,Neutral,Glossy,63.92,35.21,32.03,42.29,95.75,62.01
S132,IMG_132.png,Nude,Neutral,Satin,62.61,12.19,11.7,43.84,55.9,63.7
S133,IMG_133.png,Mauve,Warm,Satin,50.78,25.55,19.51,37.36,82.72,51.08
S134,IMG_134.png,Berry,Cool,Matte,44.67,37.23,-0.81,358.75,86.63,43.38
S135,IMG_135.png,Red,Neutral,Satin,53.67,41.61,17.02,22.24,83.88,53.21
S136,IMG_136.png,Nude,Warm,Matte,63.36,22.6,36.71,58.39,94.59,63.85
S137,IMG_137.png,Plum,Warm,Matte,35.66,27.96,-8.83,342.48,75.52,35.11
S138,IMG_138.png,Pink,Neutral,Satin,64.77,30.9,4.72,8.68,80.52,67.93
S139,IMG_139.png,Brown,Warm,Matte,46.78,18.07,24.35,53.42,67.87,48.18
S140,IMG_140.png,Brown,Warm,Glossy,47.82,19.2,29.44,56.89,72.91,47.34
S141,IMG_141.png,Mauve,Warm,Matte,49.83,26.76,0.32,0.69,69.45,48.33
S142,IMG_142.png,Pink,Warm,Matte,58.38,38.86,10.24,14.77,73.72,56.59
S143,IMG_143.png,Coral,Warm,Matte,57.01,44.44,34.07,37.47,100.0,57.02
S144,IMG_144.png,Coral,Neutral,Matte,45.99,35.28,28.07,38.51,93.05,46.94
S145,IMG_145.png,Red,Cool,Glossy,46.1,46.81,14.1,16.76,97.27,46.33
S146,IMG_146.png,Pink,Warm,Glossy,45.29,22.91,7.35,17.77,65.19,42.28
S147,IMG_147.png,Nude,Neutral,Glossy,72.81,13.94,14.18,45.49,56.13,68.99
S148,IMG_148.png,Orange,Cool,Satin,59.49,22.0,30.26,53.99,82.99,60.33
S149,IMG_149.png,Pink,Neutral,Satin,63.8,29.95,1.12,2.14,71.38,64.53
S150,IMG_150.png,Mauve,Cool,Glossy,61.19,30.04,-0.58,358.89,82.72,65.11
S151,IMG_151.png,Coral,Neutral,Matte,51.65,31.39,25.57,39.17,86.63,51.45
S152,IMG_152.png,Pink,Warm,Matte,55.73,25.6,22.73,41.6,82.1,54.75
S153,IMG_153.png,Berry,Warm,Matte,33.73,28.95,-10.64,339.82,80.55,33.64
S154,IMG_154.png,Berry,Warm,Satin,46.7,33.5,4.24,7.21,74.26,47.81
S155,IMG_155.png,Plum,Cool,Glossy,27.9,30.43,-11.29,339.65,75.84,29.04
S156,IMG_156.png,Berry,Cool,Matte,49.66,32.99,2.37,4.12,81.61,49.8
S157,IMG_157.png,Red,Warm,Matte,35.64,46.84,29.89,32.55,100.0,34.19
S158,IMG_158.png,Plum,Neutral,Matte,34.77,38.7,-10.41,344.94,89.08,34.96
S159,IMG_159.png,Berry,Neutral,Satin,41.31,33.82,1.31,2.22,80.48,42.49
S160,IMG_160.png,Pink,Cool,Glossy,57.75,31.87,2.86,5.13,72.19,60.99
S161,IMG_161.png,Plum,Cool,Satin,21.98,19.93,-6.05,343.12,64.16,19.32
S162,IMG_162.png,Orange,Warm,Matte,64.95,30.85,41.68,53.49,86.39,65.46
S163,IMG_163.png,Mauve,Warm,Glossy,45.06,20.17,7.14,19.49,50.81,46.28
S164,IMG_164.png,Plum,Neutral,Satin,20.12,25.02,-1.84,355.8,53.7,19.42
S165,IMG_165.png,Pink,Warm,Glossy,62.42,32.83,19.3,30.45,83.77,59.45
S166,IMG_166.png,Pink,Warm,Matte,56.64,29.89,2.39,4.56,77.82,57.22
S167,IMG_167.png,Plum,Cool,Matte,23.73,24.63,-7.64,342.76,70.42,27.45
S168,IMG_168.png,Pink,Cool,Satin,76.26,28.93,-0.14,359.71,74.02,75.21
S169,IMG_169.png,Red,Warm,Matte,40.61,46.58,19.68,22.9,98.43,38.02
S170,IMG_170.png,Plum,Cool,Matte,46.48,32.33,-15.0,335.11,77.15,45.97
S171,IMG_171.png,Berry,Cool,Glossy,47.17,36.1,-6.94,349.12,87.08,49.66
S172,IMG_172.png,Coral,Warm,Glossy,62.97,40.02,22.61,29.46,92.39,64.09
S173,IMG_173.png,Red,Warm,Glossy,52.36,27.66,20.34,36.33,69.01,52.54
S174,IMG_174.png,Coral,Cool,Matte,60.02,33.42,19.58,30.36,79.89,60.94
S175,IMG_175.png,Berry,Warm,Matte,40.91,40.88,-5.87,351.83,83.81,40.5
S176,IMG_176.png,Pink,Cool,Matte,64.17,31.28,6.13,11.09,77.63,63.33
S177,IMG_177.png,Berry,Warm,Glossy,50.21,33.74,13.34,21.57,84.76,50.26
S178,IMG_178.png,Orange,Warm,Satin,62.34,37.01,44.27,50.11,100.0,64.19
S179,IMG_179.png,Brown,Cool,Glossy,34.43,10.66,3.22,16.83,51.83,33.55
S180,IMG_180.png,Brown,Warm,Satin,46.73,11.68,22.77,62.85,75.34,46.44
S181,IMG_181.png,Orange,Warm,Satin,58.16,27.03,42.48,57.53,94.86,57.37
S182,IMG_182.png,Nude,Neutral,Satin,75.8,16.45,24.93,56.57,74.64,77.72
S183,IMG_183.png,Plum,Neutral,Satin,40.93,30.2,-14.43,334.46,70.02,38.08
S184,IMG_184.png,Plum,Warm,Matte,41.75,29.93,-12.83,336.8,75.01,45.94
S185,IMG_185.png,Nude,Cool,Matte,64.7,18.82,10.77,29.79,67.74,63.08
S186,IMG_186.png,Plum,Neutral,Satin,36.97,30.89,-11.08,340.27,75.99,35.73
S187,IMG_187.png,Berry,Cool,Satin,43.94,32.25,-2.68,355.25,72.77,42.69
S188,IMG_188.png,Brown,Neutral,Matte,38.73,17.49,5.46,17.35,59.94,42.72
S189,IMG_189.png,Pink,Cool,Satin,65.37,20.01,-6.23,342.72,59.48,68.0
S190,IMG_190.png,Mauve,Neutral,Glossy,44.39,11.25,1.83,9.23,51.6,43.54
S191,IMG_191.png,Red,Cool,Matte,32.19,45.09,15.94,19.47,97.51,29.86
S192,IMG_192.png,Coral,Cool,Matte,62.5,29.56,16.98,29.88,76.2,64.18
S193,IMG_193.png,Pink,Cool,Satin,58.58,21.1,0.5,1.36,65.19,55.45
S194,IMG_194.png,Red,Cool,Glossy,42.81,35.12,11.9,18.72,84.65,44.43
S195,IMG_195.png,Plum,Warm,Matte,30.1,24.27,-9.32,338.99,62.78,30.42
S196,IMG_196.png,Mauve,Neutral,Satin,52.15,23.9,4.71,11.14,66.73,49.24
S197,IMG_197.png,Berry,Cool,Satin,28.71,39.73,-0.65,359.07,86.46,27.31
S198,IMG_198.png,Pink,Neutral,Satin,45.93,34.71,3.08,5.06,76.06,43.16
S199,IMG_199.png,Brown,Neutral,Satin,42.27,17.26,17.6,45.56,68.31,45.42
S200,IMG_200.png,Berry,Warm,Satin,48.8,44.32,-6.18,352.06,96.02,49.81
S201,IMG_201.png,Pink,Warm,Glossy,61.73,28.74,10.46,20.0,70.25,62.79
S202,IMG_202.png,Berry,Cool,Glossy,43.94,34.2,-4.31,352.82,81.73,46.3
S203,IMG_203.png,Red,Warm,Glossy,54.54,43.88,26.92,31.53,92.47,54.83
S204,IMG_204.png,Plum,Cool,Satin,41.51,21.17,-9.51,335.8,64.52,38.56
S205,IMG_205.png,Nude,Warm,Matte,65.89,8.54,20.79,67.67,70.57,65.53
S206,IMG_206.png,Berry,Warm,Glossy,49.64,40.68,0.69,0.97,76.92,50.41
S207,IMG_207.png,Coral,Warm,Glossy,72.32,32.5,31.86,44.43,96.02,70.93
S208,IMG_208.png,Plum,Neutral,Glossy,36.69,26.51,-8.45,342.32,62.61,36.96
S209,IMG_209.png,Berry,Warm,Matte,47.93,39.82,-3.51,354.97,76.47,45.88
S210,IMG_210.png,Mauve,Neutral,Satin,48.16,28.2,0.31,0.63,72.26,47.88
S211,IMG_211.png,Red,Cool,Satin,44.07,35.09,12.26,19.26,82.94,43.14
S212,IMG_212.png,Plum,Cool,Matte,36.22,24.36,-15.0,328.38,59.84,36.7
S213,IMG_213.png,Nude,Neutral,Satin,68.15,15.18,13.1,40.78,50.67,69.43
S214,IMG_214.png,Coral,Cool,Glossy,58.76,35.08,22.51,32.69,79.16,60.85
S215,IMG_215.png,Pink,Cool,Glossy,66.76,30.49,-1.6,356.99,73.95,66.84
S216,IMG_216.png,Pink,Warm,Satin,58.71,22.79,9.15,21.87,60.17,58.33
S217,IMG_217.png,Red,Cool,Matte,53.86,44.53,6.01,7.69,85.56,52.71
S218,IMG_218.png,Berry,Warm,Matte,47.36,34.13,-1.62,357.28,74.75,49.56
S219,IMG_219.png,Red,Neutral,Satin,38.82,42.35,12.12,15.97,84.57,37.56
S220,IMG_220.png,Coral,Cool,Satin,57.13,31.92,28.01,41.27,100.0,56.23
S221,IMG_221.png,Nude,Neutral,Satin,68.72,17.48,9.27,27.92,62.82,66.47
S222,IMG_222.png,Brown,Warm,Matte,40.57,2.82,15.55,79.73,63.45,42.79
S223,IMG_223.png,Coral,Cool,Matte,48.05,37.96,23.52,31.79,79.86,47.4
S224,IMG_224.png,Coral,Neutral,Matte,54.62,35.78,27.8,37.84,92.06,54.01
S225,IMG_225.png,Mauve,Warm,Matte,54.86,25.0,9.45,20.7,59.63,50.91
S226,IMG_226.png,Red,Cool,Matte,46.02,39.69,14.37,19.9,88.85,45.5
S227,IMG_227.png,Brown,Warm,Matte,43.87,10.6,23.57,65.78,76.22,42.12
S228,IMG_228.png,Berry,Warm,Satin,42.34,32.41,4.88,8.56,76.5,42.78
S229,IMG_229.png,Red,Warm,Matte,41.48,42.05,28.65,34.26,89.42,37.4
S230,IMG_230.png,Red,Warm,Satin,42.69,45.31,20.07,23.89,93.01,44.04
S231,IMG_231.png,Nude,Neutral,Matte,68.26,17.97,9.02,26.65,65.39,66.09
S232,IMG_232.png,Nude,Cool,Glossy,63.74,16.79,8.44,26.68,58.81,64.21
S233,IMG_233.png,Plum,Neutral,Satin,27.83,24.68,-15.0,328.71,75.42,31.45
S234,IMG_234.png,Pink,Neutral,Matte,64.35,37.11,5.72,8.76,81.81,60.33
S235,IMG_235.png,Coral,Neutral,Satin,48.63,40.71,33.12,39.13,93.82,46.36
S236,IMG_236.png,Orange,Cool,Matte,56.51,22.24,37.38,59.24,82.47,55.4
S237,IMG_237.png,Red,Warm,Matte,48.71,36.2,23.98,33.52,85.41,49.59
S238,IMG_238.png,Pink,Warm,Satin,63.31,15.41,19.03,50.99,63.85,65.36
S239,IMG_239.png,Coral,Warm,Matte,64.16,28.39,38.19,53.37,86.39,63.0
S240,IMG_240.png,Pink,Warm,Matte,64.39,21.4,12.69,30.67,73.84,61.69
S241,IMG_241.png,Plum,Neutral,Glossy,30.94,25.99,-14.37,331.06,73.15,28.48
S242,IMG_242.png,Berry,Warm,Matte,31.18,34.24,-4.19,353.02,87.95,31.3
S243,IMG_243.png,Pink,Neutral,Glossy,61.29,24.88,12.54,26.75,64.63,60.72
S244,IMG_244.png,Mauve,Cool,Glossy,48.16,23.65,-3.62,351.3,68.74,48.63
S245,IMG_245.png,Coral,Neutral,Satin,56.58,36.47,28.52,38.03,99.41,53.9
S246,IMG_246.png,Pink,Neutral,Matte,61.3,37.88,10.44,15.42,84.07,60.18
S247,IMG_247.png,Nude,Neutral,Satin,60.26,16.99,12.16,35.6,58.96,57.54
S248,IMG_248.png,Red,Warm,Glossy,46.39,46.83,21.86,25.03,98.37,46.21
S249,IMG_249.png,Mauve,Warm,Matte,48.0,27.17,7.94,16.29,76.75,47.82
S250,IMG_250.png,Plum,Neutral,Glossy,38.75,23.68,0.89,2.14,69.36,38.73
S251,IMG_251.png,Brown,Cool,Satin,36.04,17.91,13.87,37.76,60.97,36.3
S252,IMG_252.png,Plum,Neutral,Glossy,26.17,32.83,-15.0,335.44,80.73,25.21
S253,IMG_253.png,Plum,Cool,Matte,32.62,30.57,-9.72,342.37,80.27,30.63
S254,IMG_254.png,Plum,Cool,Matte,38.96,39.58,-15.0,339.25,81.59,40.28
S255,IMG_255.png,Mauve,Warm,Matte,56.6,18.88,11.99,32.42,66.43,57.77
S256,IMG_256.png,Pink,Warm,Satin,56.38,24.54,4.47,10.33,68.8,57.14
S257,IMG_257.png,Berry,Cool,Satin,41.81,40.65,-5.18,352.74,78.05,37.85
S258,IMG_258.png,Coral,Cool,Matte,54.56,31.57,23.9,37.13,72.78,52.73
S259,IMG_259.png,Mauve,Cool,Matte,52.95,30.11,2.36,4.49,70.89,51.69
S260,IMG_260.png,Nude,Warm,Satin,65.78,16.66,25.93,57.28,77.82,67.52
S261,IMG_261.png,Nude,Cool,Glossy,63.54,7.43,10.26,54.1,52.53,62.52
S262,IMG_262.png,Plum,Neutral,Glossy,30.21,31.06,-6.05,348.98,77.29,32.03
S263,IMG_263.png,Coral,Neutral,Satin,58.38,38.54,29.08,37.03,96.97,59.49
S264,IMG_264.png,Mauve,Neutral,Satin,52.41,24.86,3.97,9.06,78.72,51.36
S265,IMG_265.png,Coral,Warm,Matte,72.03,36.11,35.81,44.76,94.18,72.52
S266,IMG_266.png,Red,Cool,Glossy,52.55,41.53,13.76,18.34,90.09,51.12
S267,IMG_267.png,Mauve,Neutral,Glossy,49.81,25.64,2.68,5.97,72.01,48.12
S268,IMG_268.png,Nude,Warm,Glossy,65.61,17.66,17.54,44.81,63.66,64.56
S269,IMG_269.png,Brown,Warm,Satin,47.81,18.17,21.46,49.76,85.0,44.39
S270,IMG_270.png,Nude,Warm,Matte,56.9,10.61,17.45,58.7,64.14,57.0
S271,IMG_271.png,Coral,Cool,Matte,55.76,48.61,26.7,28.78,95.99,52.28
S272,IMG_272.png,Brown,Warm,Matte,37.19,25.05,22.23,41.58,72.19,35.19
S273,IMG_273.png,Coral,Neutral,Matte,56.92,38.07,26.92,35.27,87.22,55.84
S274,IMG_274.png,Mauve,Warm,Matte,55.63,30.4,8.08,14.88,76.79,56.85
S275,IMG_275.png,Brown,Warm,Glossy,47.75,23.89,14.3,30.9,70.69,47.55
S276,IMG_276.png,Red,Warm,Glossy,45.56,38.16,24.64,32.85,84.47,46.02
S277,IMG_277.png,Nude,Cool,Glossy,63.66,18.43,6.92,20.58,69.56,61.82
S278,IMG_278.png,Orange,Cool,Glossy,59.46,25.49,29.61,49.28,78.95,56.67
S279,IMG_279.png,Pink,Cool,Matte,50.51,26.28,2.08,4.52,63.81,50.34
S280,IMG_280.png,Mauve,Neutral,Satin,58.2,19.09,4.66,13.72,62.85,60.37
S281,IMG_281.png,Orange,Warm,Matte,60.83,29.03,43.83,56.48,100.0,60.4
S282,IMG_282.png,Plum,Neutral,Glossy,37.5,24.55,-4.84,348.84,72.07,37.75
S283,IMG_283.png,Red,Cool,Matte,41.72,32.08,20.29,32.32,87.28,42.27
S284,IMG_284.png,Plum,Neutral,Satin,39.18,41.39,-3.14,355.65,77.76,40.08
S285,IMG_285.png,Brown,Warm,Matte,46.99,19.64,35.04,60.73,81.65,46.38
S286,IMG_286.png,Nude,Cool,Glossy,45.42,13.83,11.87,40.64,69.72,45.45
S287,IMG_287.png,Plum,Cool,Glossy,36.68,36.84,-13.05,340.5,84.83,36.1
S288,IMG_288.png,Plum,Neutral,Matte,33.38,32.1,-1.71,356.95,81.06,33.4
S289,IMG_289.png,Berry,Cool,Glossy,50.82,38.85,-3.24,355.23,75.12,51.34
S290,IMG_290.png,Red,Cool,Matte,45.51,50.0,16.43,18.19,100.0,48.47
S291,IMG_291.png,Red,Neutral,Matte,49.87,37.15,17.12,24.74,81.54,52.87
