formula_id,wax_pct,oil_pct,emollient_pct,film_former_pct,other_base_pct,red_pigment_pct,yellow_pigment_pct,blue_pigment_pct,black_pigment_pct,white_pigment_pct
F055,14.1349,50.0074,23.5362,4.3301,3.7432,1.7494,1.2541,0.5824,0.4863,0.1759
F056,13.2346,35.8963,24.5345,6.0069,9.9678,5.5122,0.9563,1.0471,0.1547,2.6896
F057,13.6652,41.798,24.8296,6.3602,10.0436,0.4103,0.7508,0.4642,0.2182,1.4599
F058,12.5665,47.7486,17.5604,5.5869,9.133,3.6911,1.0827,0.2872,0.0685,2.275
F059,14.1623,36.7569,25.5775,5.5159,9.1744,2.7074,2.9516,0.3082,0.0953,2.7505
F060,17.7654,44.0517,16.8573,3.6561,8.5843,5.2631,1.0814,0.0952,0.3451,2.3003
F061,13.3002,43.4462,24.703,3.2029,6.9627,3.6406,1.636,1.2947,0.3004,1.5132
F062,12.1547,50.402,18.0603,2.3601,7.1038,3.8007,3.3166,1.1824,0.4695,1.1499
F063,14.1138,49.7639,19.2318,6.0547,6.7021,1.3478,1.7465,0.3281,0.0015,0.7098
F064,12.1825,42.8031,25.2046,4.1567,9.4085,3.5177,0.0241,0.2987,0.4913,1.9126
F065,17.341,39.4349,22.0444,5.8281,9.7761,0.1085,2.8411,0.5842,0.4167,1.6252
F066,15.1141,42.0515,24.2422,3.4566,6.7107,3.4993,2.3192,0.7365,0.3541,1.5157
F067,15.096,44.5848,21.8361,6.045,6.7057,1.1461,2.0151,0.1143,0.1082,2.3487
F068,14.6986,46.3083,27.1216,3.4628,3.4203,0.7286,0.7998,1.1873,0.423,1.8498
F069,13.603,48.3843,17.1158,6.111,8.2475,0.1478,2.7691,1.2938,0.1741,2.1535
F070,16.3927,41.1121,18.7396,5.994,10.5524,3.8267,1.8852,1.0735,0.2438,0.1799
F071,12.7904,47.0985,22.3817,6.4448,3.9519,2.9478,1.7034,0.3058,0.0976,2.2781
F072,17.0558,49.596,19.6018,5.0296,3.5072,0.8649,1.7247,0.5153,0.5356,1.5691
F073,13.3027,43.9757,27.747,3.5631,5.38,3.1707,0.9878,1.1532,0.3028,0.4169
F074,17.5039,44.505,22.6981,2.1718,7.941,1.8249,1.5948,0.4802,0.5356,0.7447
F075,16.379,46.1654,18.1843,3.3321,5.3646,5.6191,1.7573,0.7735,0.017,2.4077
F076,12.4607,41.6952,20.7265,5.1136,10.8219,5.5358,0.6924,0.6518,0.4556,1.8466
F077,12.3512,44.3725,23.0413,7.4417,8.2725,0.1053,2.2923,0.4078,0.4672,1.2482
F078,12.8071,46.404,19.3836,3.5109,7.7446,5.0845,2.7663,0.6588,0.0369,1.6034
F079,14.418,40.6251,25.6473,7.3542,3.5988,5.1104,2.0734,0.4197,0.3399,0.4131
F080,10.4433,49.3731,21.1371,3.2315,6.085,5.6401,1.3022,1.3363,0.4298,1.0215
F081,16.1243,46.5119,23.5235,3.9665,3.4859,1.0629,1.9157,1.2042,0.3915,1.8136
F082,12.4405,41.0791,26.5882,5.5304,9.8785,1.1379,1.424,1.6063,0.1,0.215
F083,14.5793,42.0478,23.4761,6.2542,7.8949,0.11,1.3798,1.2869,0.2076,2.7635
F084,17.3765,41.834,22.9398,6.2543,3.9475,2.3609,2.4561,0.269,0.1988,2.363
F085,15.837,41.808,24.0117,6.4764,6.1709,0.9398,2.2662,0.3564,0.4119,1.7215
F086,13.6426,44.96,21.0851,6.8703,4.6681,5.7763,0.0975,1.1968,0.477,1.2262
F087,10.7447,47.7822,23.7831,3.737,6.7305,4.9303,0.5848,0.9577,0.2186,0.5312
F088,16.6614,39.8938,24.3587,4.8475,6.6055,2.5413,1.2027,1.2277,0.339,2.3224
F089,15.3262,44.6208,18.1923,6.7448,6.7719,3.5027,1.6142,0.7414,0.392,2.0936
F090,18.9789,39.5921,22.1378,2.4729,9.2409,3.948,1.3721,1.2848,0.2429,0.7296
F091,14.1701,37.0834,24.6574,5.8149,8.5578,5.3955,2.4419,0.6661,0.061,1.1518
F092,16.7288,47.1401,21.7132,2.8935,4.1755,5.0539,0.4076,0.8389,0.1811,0.8675
F093,14.3992,46.1265,21.2698,4.1377,5.6825,5.0858,1.6196,0.6957,0.3188,0.6644
F094,10.6096,48.2805,21.2726,2.8512,5.1346,5.996,1.9213,0.9632,0.0364,2.9346
F095,16.6374,41.944,17.561,5.3286,8.5735,4.5778,2.8448,0.9272,0.1559,1.4498
F096,17.8474,42.0854,18.6934,6.0722,6.5978,5.2897,0.4654,0.5437,0.1447,2.2604
F097,16.3882,42.6562,20.1661,2.712,8.0671,6.07,2.3793,0.3412,0.3176,0.9021
F098,12.3826,45.5786,19.3764,3.6026,10.3608,2.1243,2.7459,1.7209,0.3472,1.7607
F099,16.6198,37.8662,20.0278,4.6679,9.1583,5.0742,2.6432,1.0873,0.2755,2.5797
F100,16.8655,41.9071,24.6798,6.3288,6.5265,0.4128,0.6687,1.1563,0.0552,1.3994
F101,14.1975,46.093,22.4567,5.5698,5.6008,0.8166,1.9221,0.2602,0.2685,2.8149
F102,14.5239,45.06,21.9593,6.2038,6.0958,3.0102,0.5324,0.9298,0.1491,1.5357
F103,19.0436,41.6268,24.3635,3.3846,5.8499,0.2459,0.6001,1.747,0.5894,2.5492
F104,14.564,45.6187,23.4332,4.4944,3.1749,4.1618,2.8882,0.3785,0.2266,1.0597
F105,13.3248,46.5229,19.0718,6.8081,8.6582,0.1684,2.4933,1.177,0.2622,1.5133
F106,18.2513,45.2578,18.1533,3.8993,5.3126,4.4702,0.587,1.058,0.2549,2.7556
F107,13.4539,47.4445,23.2678,2.8366,7.5636,1.2482,2.3941,0.9243,0.1425,0.7244
F108,13.706,47.9533,23.422,2.2103,5.2186,2.588,1.792,0.2288,0.171,2.7101
F109,14.1032,47.134,20.2656,4.416,7.5083,1.5889,0.7652,1.5153,0.4436,2.2599
F110,12.9336,41.3203,19.5267,7.7955,10.1561,3.6578,3.3873,0.2563,0.3258,0.6406
F111,12.6753,49.9851,24.1087,2.5541,4.8322,3.6312,0.1874,0.84,0.2975,0.8886
F112,13.3434,41.5448,26.3267,4.2634,7.6709,1.9558,2.2785,0.1645,0.0387,2.4134
F113,17.7551,43.7607,20.8283,7.6196,4.1884,1.2338,1.4485,0.4751,0.3643,2.3262
F114,15.3951,47.8478,20.945,6.2853,3.5692,2.0338,2.2244,0.5357,0.0425,1.1213
F115,16.5408,38.822,23.4497,6.1952,7.8499,1.5447,2.5466,0.3391,0.4774,2.2346
F116,10.7734,48.5003,20.7095,4.4003,6.1347,3.7568,2.2436,1.3872,0.1409,1.9532
F117,16.0841,46.8503,20.6934,4.1066,8.656,1.869,0.6481,0.8501,0.1389,0.1035
F118,10.7305,46.8118,25.4864,4.4039,4.1524,5.0583,0.8082,1.539,0.2902,0.7192
F119,14.1764,40.6279,23.1348,2.5668,9.1333,4.6727,2.6226,1.3625,0.1166,1.5863
F120,18.618,45.0627,17.2933,3.8325,5.2015,5.7855,1.5422,1.1363,0.5331,0.9947
F121,19.6812,43.2306,19.6219,3.4364,6.3448,2.9577,1.7505,0.4501,0.0405,2.4863
F122,9.8538,45.5897,23.4916,5.369,6.9356,3.8123,1.8922,1.3515,0.4663,1.238
F123,15.4285,48.5912,15.5047,4.7877,7.8194,4.4449,1.1428,0.4581,0.0941,1.7286
F124,16.5168,46.1017,17.7019,3.1305,8.1103,4.1399,1.4428,0.5554,0.0589,2.2417
F125,14.4258,39.2549,23.3559,5.1161,9.1777,2.7486,1.3169,1.3575,0.4634,2.7832
F126,16.8477,42.6875,17.4094,3.9874,9.7395,2.2204,2.3108,1.4093,0.4939,2.894
F127,14.5341,42.6531,25.0378,3.1109,4.3407,5.8166,2.081,0.8097,0.0665,1.5497
F128,16.93,42.4784,18.3695,4.5865,8.876,5.2825,1.1576,0.8797,0.1346,1.3052
F129,13.5217,49.4135,23.8976,4.2422,5.64,1.042,0.4814,1.2272,0.1274,0.407
F130,17.8938,38.6886,23.831,5.0187,7.9622,3.3473,0.5395,1.2637,0.4117,1.0434
F131,15.4282,41.3174,23.0697,5.7593,3.1477,5.0521,2.7826,1.0661,0.0574,2.3195
F132,15.0169,39.652,23.5843,4.776,8.8742,3.9775,0.8563,1.4468,0.2824,1.5336
F133,13.9672,39.1151,23.0837,4.3861,10.0755,6.1141,2.4316,0.3841,0.378,0.0647
F134,16.1302,41.1764,23.6618,3.7762,4.702,5.7975,1.5459,1.2573,0.4423,1.5104
F135,13.4039,42.5261,23.0613,6.7024,5.2044,4.3532,0.841,0.9002,0.3953,2.6123
F136,15.4653,46.1422,19.9545,3.0352,6.321,5.9539,1.4298,0.5416,0.4206,0.736
F137,12.8962,52.481,16.9261,4.3591,7.5313,1.4785,0.9022,0.3561,0.1847,2.8847
F138,14.5779,44.7191,20.4438,7.3911,4.1407,5.6688,1.0636,1.5548,0.1708,0.2694
F139,14.961,40.5902,23.8038,5.5854,8.2466,1.2266,2.2461,0.4934,0.5276,2.3194
F140,14.8917,48.5559,21.1321,4.8182,4.7145,4.1152,1.1368,0.0654,0.4127,0.1574
F141,16.7815,40.7586,21.0889,6.8698,3.995,4.3681,2.0055,1.42,0.0942,2.6183
F142,15.4809,47.156,21.1912,4.4708,7.5574,0.7294,1.4515,1.1131,0.2835,0.5663
F143,13.3675,43.1387,22.467,6.7372,7.0985,4.2038,0.2399,1.4831,0.1633,1.101
F144,13.4858,41.5124,26.2104,3.6653,5.6984,1.2484,3.3474,1.3409,0.5322,2.9588
F145,19.14,46.8065,18.5353,4.0325,5.6,4.7741,0.0855,0.2364,0.3788,0.4109
F146,12.6167,44.5058,26.6109,3.2757,4.8883,1.6785,2.7365,0.3651,0.0215,3.3012
F147,19.0546,42.3111,19.7747,3.2964,9.0025,1.6803,3.1301,1.3906,0.3296,0.03
F148,16.0604,43.2023,21.5267,2.2197,7.4894,4.5422,2.7003,0.8192,0.239,1.2008
F149,15.4395,48.2784,20.7679,3.1021,3.0889,3.674,2.5654,0.0979,0.1966,2.7893
F150,16.3346,44.6555,21.607,4.71,4.4539,4.6215,2.0708,1.1325,0.356,0.0583
F151,14.1201,46.4449,19.7998,7.0347,4.7592,4.9677,0.6631,0.2199,0.1007,1.8898
F152,15.6037,48.5474,16.758,5.2283,8.661,1.9288,0.2461,0.2407,0.0471,2.7388
F153,13.9926,46.0737,24.3935,4.1477,8.1112,0.4947,1.5512,0.1557,0.1335,0.9462
F154,15.567,44.6138,22.2228,2.2833,9.8475,0.3229,2.4499,1.0981,0.2926,1.302
F155,16.875,48.4461,17.2058,6.2669,3.7307,3.1563,2.0338,1.2953,0.2434,0.7468
F156,15.6101,43.4419,22.7418,4.8343,9.4875,1.6148,0.6725,0.7973,0.0283,0.7713
F157,13.8312,45.6179,19.0758,5.1782,9.8632,3.5171,0.9277,0.1002,0.0737,1.8151
F158,18.4296,42.5843,20.0806,4.2833,6.2407,6.8507,0.7283,0.1117,0.2103,0.4805
F159,12.5946,47.0175,20.6588,2.8118,8.2687,3.4426,0.2645,1.48,0.1628,3.2985
F160,18.579,44.1913,18.4016,6.5729,5.8859,1.0447,1.7617,0.7815,0.4524,2.3291
F161,15.548,42.0672,19.5815,4.1142,9.0613,5.2606,2.3278,1.0631,0.264,0.7123
F162,19.8247,40.9964,20.1406,4.6854,8.2817,3.9236,0.615,0.1833,0.1296,1.2197
F163,11.2113,50.3187,19.3764,4.1653,5.925,3.4047,2.8597,0.2484,0.1889,2.3017
F164,10.1718,46.6154,24.1854,4.9496,9.5251,2.4348,1.2232,0.1566,0.0174,0.7206
F165,15.533,47.8799,19.2976,5.6896,4.7958,2.1991,0.6597,1.1741,0.2902,2.4811
F166,11.9226,47.1755,28.1244,2.5857,6.7589,0.2763,0.5016,0.791,0.0898,1.7742
F167,18.9056,41.3379,17.4808,6.6634,6.7673,5.7599,0.9989,1.0238,0.5021,0.5602
F168,16.5091,44.7526,23.275,2.8714,6.0766,0.7779,2.8984,0.0946,0.0329,2.7114
F169,13.9038,49.2619,20.0327,5.8769,4.8721,3.0856,1.7937,0.5609,0.141,0.4714
F170,17.2688,41.4079,19.7761,4.0659,6.8202,4.6517,1.4167,1.4419,0.3751,2.7758
F171,16.4983,39.0458,25.9882,6.2224,7.351,1.0398,0.5433,0.9665,0.2183,2.1265
F172,14.4952,47.6784,18.8508,3.1002,3.9417,5.4922,1.8607,1.5866,0.4185,2.5756
F173,13.7552,46.1668,23.87,5.4822,3.6548,3.818,0.3532,0.1132,0.3386,2.4479
F174,13.0938,41.9536,27.7256,3.0915,3.7706,5.0261,2.9545,0.8965,0.3136,1.174
F175,12.5595,48.8645,24.7788,3.8036,5.1859,1.6947,0.1601,0.4447,0.0135,2.4947
F176,12.2915,46.2711,20.8458,6.3127,9.9196,2.2484,0.2704,1.1472,0.0109,0.6824
F177,11.315,52.6053,16.3365,4.8443,6.4769,4.2504,0.9433,1.4223,0.3985,1.4075
F178,13.8194,50.7459,24.2466,4.2916,5.7898,0.2507,0.2633,0.0869,0.0131,0.4927
F179,15.8794,44.248,22.0953,4.8221,6.9411,0.7005,1.9753,0.3957,0.2446,2.698
F180,19.8446,45.0328,26.1631,2.9483,3.7282,0.1977,0.5974,1.2194,0.2125,0.0559
F181,18.144,43.5767,19.1925,4.6558,6.7287,2.8592,1.8635,1.3462,0.1529,1.4805
F182,10.3678,49.5148,18.6689,3.4698,10.3199,3.6248,0.3816,0.4117,0.1826,3.0581
F183,15.4209,44.1032,23.7391,4.6152,3.8822,5.9247,0.054,1.5458,0.4541,0.2609
F184,16.4593,48.5413,21.9157,5.0959,3.49,0.3721,2.2745,0.1651,0.1261,1.5601
F185,11.4785,47.5316,23.4107,6.3014,3.3958,2.6047,2.5779,0.5528,0.353,1.7935
F186,14.0698,43.1046,23.7043,2.9379,9.9331,3.8084,0.3683,1.162,0.2374,0.6742
F187,17.2578,44.6796,20.4203,6.0923,6.6413,2.5843,0.5545,0.2245,0.2107,1.3346
F188,15.6425,41.0436,20.6361,6.0756,9.8128,1.9078,2.6677,1.192,0.0335,0.9883
F189,12.072,46.1888,21.112,4.596,8.5719,2.0542,1.1795,1.3338,0.4993,2.3924
F190,14.037,43.8813,20.4422,4.9201,5.5697,6.4659,2.4066,0.7476,0.1637,1.3658
F191,14.9518,49.4921,17.2095,6.7612,4.2153,1.7051,3.2276,0.3089,0.0548,2.0738
F192,16.4926,45.6415,18.8669,3.0059,8.355,1.7382,2.9267,1.6138,0.0909,1.2685
F193,12.9576,45.5792,20.1707,6.8824,6.284,3.4484,2.3447,1.4304,0.1747,0.7279
F194,18.4878,41.2762,22.5147,5.5888,6.8425,1.4214,0.4401,0.7576,0.2649,2.406
F195,14.9002,46.2635,23.4818,5.3593,3.36,2.31,1.7357,0.8413,0.0862,1.662
F196,13.6561,42.7733,24.9061,4.3854,7.1408,3.6038,1.8023,0.3411,0.3198,1.0712
F197,15.9357,38.8827,26.0795,6.1277,6.191,1.8906,1.2165,1.1312,0.3427,2.2024
F198,17.3708,42.4774,22.0234,4.2712,7.5796,2.892,2.3652,0.008,0.1095,0.9028
F199,17.6737,42.8737,18.7608,4.0469,6.2015,5.2397,2.9052,1.2742,0.4235,0.6008
F200,12.9308,46.7667,22.9481,3.2073,8.7529,1.2769,0.8398,0.4898,0.4502,2.3375
