consumer_id,shade_id,skin_tone,consumer_undertone,age_group,hedonic_score
C005,S210,Light,Neutral,18-24,7
C005,S064,Light,Neutral,18-24,8
C005,S385,Light,Neutral,18-24,6
C005,S094,Light,Neutral,18-24,9
C005,S486,Light,Neutral,18-24,7
C005,S186,Light,Neutral,18-24,5
C005,S034,Light,Neutral,18-24,6
C005,S078,Light,Neutral,18-24,5
C005,S001,Light,Neutral,18-24,6
C005,S012,Light,Neutral,18-24,7
C005,S416,Light,Neutral,18-24,5
C005,S023,Light,Neutral,18-24,6
C006,S362,Medium,Neutral,18-24,6
C006,S074,Medium,Neutral,18-24,6
C006,S375,Medium,Neutral,18-24,6
C006,S156,Medium,Neutral,18-24,5
C006,S105,Medium,Neutral,18-24,7
C006,S395,Medium,Neutral,18-24,6
C006,S378,Medium,Neutral,18-24,5
C006,S125,Medium,Neutral,18-24,5
C006,S069,Medium,Neutral,18-24,8
C006,S451,Medium,Neutral,18-24,4
C006,S010,Medium,Neutral,18-24,5
C006,S195,Medium,Neutral,18-24,5
C006,S407,Medium,Neutral,18-24,5
C006,S085,Medium,Neutral,18-24,7
C006,S372,Medium,Neutral,18-24,8
C006,S389,Medium,Neutral,18-24,6
C006,S496,Medium,Neutral,18-24,6
C006,S031,Medium,Neutral,18-24,5
C006,S317,Medium,Neutral,18-24,8
C006,S409,Medium,Neutral,18-24,6
C006,S491,Medium,Neutral,18-24,5
C006,S492,Medium,Neutral,18-24,6
C006,S281,Medium,Neutral,18-24,6
C006,S357,Medium,Neutral,18-24,3
C006,S077,Medium,Neutral,18-24,5
C006,S462,Medium,Neutral,18-24,4
C006,S498,Medium,Neutral,18-24,7
C006,S212,Medium,Neutral,18-24,5
C006,S102,Medium,Neutral,18-24,6
C006,S335,Medium,Neutral,18-24,5
C006,S476,Medium,Neutral,18-24,7
C006,S337,Medium,Neutral,18-24,6
C006,S441,Medium,Neutral,18-24,7
C006,S174,Medium,Neutral,18-24,6
C006,S003,Medium,Neutral,18-24,6
C006,S334,Medium,Neutral,18-24,6
C006,S410,Medium,Neutral,18-24,5
C006,S071,Medium,Neutral,18-24,8
C006,S210,Medium,Neutral,18-24,7
C006,S064,Medium,Neutral,18-24,9
C006,S385,Medium,Neutral,18-24,7
C006,S094,Medium,Neutral,18-24,8
C006,S486,Medium,Neutral,18-24,5
C006,S186,Medium,Neutral,18-24,7
C006,S034,Medium,Neutral,18-24,5
C006,S078,Medium,Neutral,18-24,7
C006,S001,Medium,Neutral,18-24,8
C006,S012,Medium,Neutral,18-24,5
C006,S416,Medium,Neutral,18-24,6
C006,S023,Medium,Neutral,18-24,6
C007,S362,Medium,Neutral,25-34,6
C007,S074,Medium,Neutral,25-34,6
C007,S375,Medium,Neutral,25-34,6
C007,S156,Medium,Neutral,25-34,5
C007,S105,Medium,Neutral,25-34,7
C007,S395,Medium,Neutral,25-34,6
C007,S378,Medium,Neutral,25-34,5
C007,S125,Medium,Neutral,25-34,6
C007,S069,Medium,Neutral,25-34,6
C007,S451,Medium,Neutral,25-34,6
C007,S010,Medium,Neutral,25-34,6
C007,S195,Medium,Neutral,25-34,3
C007,S407,Medium,Neutral,25-34,5
C007,S085,Medium,Neutral,25-34,6
C007,S372,Medium,Neutral,25-34,9
C007,S389,Medium,Neutral,25-34,7
C007,S496,Medium,Neutral,25-34,5
C007,S031,Medium,Neutral,25-34,3
C007,S317,Medium,Neutral,25-34,8
C007,S409,Medium,Neutral,25-34,6
C007,S491,Medium,Neutral,25-34,6
C007,S492,Medium,Neutral,25-34,6
C007,S281,Medium,Neutral,25-34,6
C007,S357,Medium,Neutral,25-34,5
C007,S077,Medium,Neutral,25-34,5
C007,S462,Medium,Neutral,25-34,5
C007,S498,Medium,Neutral,25-34,7
C007,S212,Medium,Neutral,25-34,6
C007,S102,Medium,Neutral,25-34,6
C007,S335,Medium,Neutral,25-34,7
C007,S476,Medium,Neutral,25-34,5
C007,S337,Medium,Neutral,25-34,6
C007,S441,Medium,Neutral,25-34,9
C007,S174,Medium,Neutral,25-34,5
C007,S003,Medium,Neutral,25-34,7
C007,S334,Medium,Neutral,25-34,6
C007,S410,Medium,Neutral,25-34,5
C007,S071,Medium,Neutral,25-34,6
C007,S210,Medium,Neutral,25-34,7
C007,S064,Medium,Neutral,25-34,8
C007,S385,Medium,Neutral,25-34,6
C007,S094,Medium,Neutral,25-34,6
C007,S486,Medium,Neutral,25-34,8
C007,S186,Medium,Neutral,25-34,6
C007,S034,Medium,Neutral,25-34,7
C007,S078,Medium,Neutral,25-34,4
C007,S001,Medium,Neutral,25-34,7
C007,S012,Medium,Neutral,25-34,6
C007,S416,Medium,Neutral,25-34,7
C007,S023,Medium,Neutral,25-34,5
C008,S362,Fair,Neutral,18-24,6
C008,S074,Fair,Neutral,18-24,4
C008,S375,Fair,Neutral,18-24,5
C008,S156,Fair,Neutral,18-24,5
C008,S105,Fair,Neutral,18-24,7
C008,S395,Fair,Neutral,18-24,6
C008,S378,Fair,Neutral,18-24,3
C008,S125,Fair,Neutral,18-24,3
C008,S069,Fair,Neutral,18-24,5
C008,S451,Fair,Neutral,18-24,5
C008,S010,Fair,Neutral,18-24,5
C008,S195,Fair,Neutral,18-24,4
C008,S407,Fair,Neutral,18-24,4
C008,S085,Fair,Neutral,18-24,4
C008,S372,Fair,Neutral,18-24,8
C008,S389,Fair,Neutral,18-24,6
C008,S496,Fair,Neutral,18-24,7
C008,S031,Fair,Neutral,18-24,5
C008,S317,Fair,Neutral,18-24,6
C008,S409,Fair,Neutral,18-24,5
C008,S491,Fair,Neutral,18-24,6
C008,S492,Fair,Neutral,18-24,7
C008,S281,Fair,Neutral,18-24,7
C008,S357,Fair,Neutral,18-24,5
C008,S077,Fair,Neutral,18-24,4
C008,S462,Fair,Neutral,18-24,6
C008,S498,Fair,Neutral,18-24,7
C008,S212,Fair,Neutral,18-24,4
C008,S102,Fair,Neutral,18-24,8
C008,S335,Fair,Neutral,18-24,6
C008,S476,Fair,Neutral,18-24,6
C008,S337,Fair,Neutral,18-24,8
C008,S441,Fair,Neutral,18-24,5
C008,S174,Fair,Neutral,18-24,6
C008,S003,Fair,Neutral,18-24,7
C008,S334,Fair,Neutral,18-24,6
C008,S410,Fair,Neutral,18-24,4
C008,S071,Fair,Neutral,18-24,6
C008,S210,Fair,Neutral,18-24,7
C008,S064,Fair,Neutral,18-24,9
C008,S385,Fair,Neutral,18-24,5
C008,S094,Fair,Neutral,18-24,7
C008,S486,Fair,Neutral,18-24,6
C008,S186,Fair,Neutral,18-24,5
C008,S034,Fair,Neutral,18-24,8
C008,S078,Fair,Neutral,18-24,5
C008,S001,Fair,Neutral,18-24,7
C008,S012,Fair,Neutral,18-24,7
C008,S416,Fair,Neutral,18-24,4
C008,S023,Fair,Neutral,18-24,6
C009,S362,Light,Warm,18-24,6
C009,S074,Light,Warm,18-24,5
C009,S375,Light,Warm,18-24,7
C009,S156,Light,Warm,18-24,6
C009,S105,Light,Warm,18-24,6
C009,S395,Light,Warm,18-24,6
C009,S378,Light,Warm,18-24,4
C009,S125,Light,Warm,18-24,6
C009,S069,Light,Warm,18-24,6
C009,S451,Light,Warm,18-24,6
C009,S010,Light,Warm,18-24,6
C009,S195,Light,Warm,18-24,5
C009,S407,Light,Warm,18-24,5
C009,S085,Light,Warm,18-24,8
C009,S372,Light,Warm,18-24,6
C009,S389,Light,Warm,18-24,6
C009,S496,Light,Warm,18-24,6
C009,S031,Light,Warm,18-24,3
C009,S317,Light,Warm,18-24,6
C009,S409,Light,Warm,18-24,4
C009,S491,Light,Warm,18-24,5
C009,S492,Light,Warm,18-24,7
C009,S281,Light,Warm,18-24,8
C009,S357,Light,Warm,18-24,5
C009,S077,Light,Warm,18-24,6
C009,S462,Light,Warm,18-24,5
C009,S498,Light,Warm,18-24,6
C009,S212,Light,Warm,18-24,4
C009,S102,Light,Warm,18-24,6
C009,S335,Light,Warm,18-24,6
C009,S476,Light,Warm,18-24,8
C009,S337,Light,Warm,18-24,8
C009,S441,Light,Warm,18-24,7
C009,S174,Light,Warm,18-24,5
C009,S003,Light,Warm,18-24,5
C009,S334,Light,Warm,18-24,8
C009,S410,Light,Warm,18-24,6
C009,S071,Light,Warm,18-24,7
C009,S210,Light,Warm,18-24,6
C009,S064,Light,Warm,18-24,5
C009,S385,Light,Warm,18-24,8
C009,S094,Light,Warm,18-24,5
C009,S486,Light,Warm,18-24,5
C009,S186,Light,Warm,18-24,5
C009,S034,Light,Warm,18-24,6
C009,S078,Light,Warm,18-24,6
C009,S001,Light,Warm,18-24,5
C009,S012,Light,Warm,18-24,8
C009,S416,Light,Warm,18-24,5
C009,S023,Light,Warm,18-24,7
C010,S362,Fair,Neutral,18-24,4
C010,S074,Fair,Neutral,18-24,6
C010,S375,Fair,Neutral,18-24,7
C010,S156,Fair,Neutral,18-24,6
C010,S105,Fair,Neutral,18-24,9
C010,S395,Fair,Neutral,18-24,8
C010,S378,Fair,Neutral,18-24,5
C010,S125,Fair,Neutral,18-24,4
C010,S069,Fair,Neutral,18-24,7
C010,S451,Fair,Neutral,18-24,6
C010,S010,Fair,Neutral,18-24,7
C010,S195,Fair,Neutral,18-24,4
C010,S407,Fair,Neutral,18-24,6
C010,S085,Fair,Neutral,18-24,5
C010,S372,Fair,Neutral,18-24,7
C010,S389,Fair,Neutral,18-24,5
C010,S496,Fair,Neutral,18-24,9
C010,S031,Fair,Neutral,18-24,5
C010,S317,Fair,Neutral,18-24,6
C010,S409,Fair,Neutral,18-24,5
C010,S491,Fair,Neutral,18-24,6
C010,S492,Fair,Neutral,18-24,8
C010,S281,Fair,Neutral,18-24,9
C010,S357,Fair,Neutral,18-24,5
C010,S077,Fair,Neutral,18-24,5
C010,S462,Fair,Neutral,18-24,8
C010,S498,Fair,Neutral,18-24,8
C010,S212,Fair,Neutral,18-24,4
C010,S102,Fair,Neutral,18-24,8
C010,S335,Fair,Neutral,18-24,7
C010,S476,Fair,Neutral,18-24,8
C010,S337,Fair,Neutral,18-24,9
C010,S441,Fair,Neutral,18-24,7
C010,S174,Fair,Neutral,18-24,5
C010,S003,Fair,Neutral,18-24,7
C010,S334,Fair,Neutral,18-24,5
C010,S410,Fair,Neutral,18-24,5
C010,S071,Fair,Neutral,18-24,6
C010,S210,Fair,Neutral,18-24,7
C010,S064,Fair,Neutral,18-24,7
C010,S385,Fair,Neutral,18-24,6
C010,S094,Fair,Neutral,18-24,6
C010,S486,Fair,Neutral,18-24,6
C010,S186,Fair,Neutral,18-24,5
C010,S034,Fair,Neutral,18-24,6
C010,S078,Fair,Neutral,18-24,5
C010,S001,Fair,Neutral,18-24,7
C010,S012,Fair,Neutral,18-24,6
C010,S416,Fair,Neutral,18-24,6
C010,S023,Fair,Neutral,18-24,4
C011,S362,Deep,Warm,35-44,7
C011,S074,Deep,Warm,35-44,6
C011,S375,Deep,Warm,35-44,8
C011,S156,Deep,Warm,35-44,6
C011,S105,Deep,Warm,35-44,7
C011,S395,Deep,Warm,35-44,4
C011,S378,Deep,Warm,35-44,6
C011,S125,Deep,Warm,35-44,7
C011,S069,Deep,Warm,35-44,7
C011,S451,Deep,Warm,35-44,9
C011,S010,Deep,Warm,35-44,3
C011,S195,Deep,Warm,35-44,7
C011,S407,Deep,Warm,35-44,6
C011,S085,Deep,Warm,35-44,7
C011,S372,Deep,Warm,35-44,5
C011,S389,Deep,Warm,35-44,7
C011,S496,Deep,Warm,35-44,3
C011,S031,Deep,Warm,35-44,5
C011,S317,Deep,Warm,35-44,6
C011,S409,Deep,Warm,35-44,6
C011,S491,Deep,Warm,35-44,5
C011,S492,Deep,Warm,35-44,9
C011,S281,Deep,Warm,35-44,6
C011,S357,Deep,Warm,35-44,5
C011,S077,Deep,Warm,35-44,9
C011,S462,Deep,Warm,35-44,4
C011,S498,Deep,Warm,35-44,5
C011,S212,Deep,Warm,35-44,5
C011,S102,Deep,Warm,35-44,4
C011,S335,Deep,Warm,35-44,5
C011,S476,Deep,Warm,35-44,7
C011,S337,Deep,Warm,35-44,4
C011,S441,Deep,Warm,35-44,4
C011,S174,Deep,Warm,35-44,5
C011,S003,Deep,Warm,35-44,4
C011,S334,Deep,Warm,35-44,7
C011,S410,Deep,Warm,35-44,5
C011,S071,Deep,Warm,35-44,7
C011,S210,Deep,Warm,35-44,6
C011,S064,Deep,Warm,35-44,6
C011,S385,Deep,Warm,35-44,7
C011,S094,Deep,Warm,35-44,5
C011,S486,Deep,Warm,35-44,4
C011,S186,Deep,Warm,35-44,6
C011,S034,Deep,Warm,35-44,6
C011,S078,Deep,Warm,35-44,8
C011,S001,Deep,Warm,35-44,4
C011,S012,Deep,Warm,35-44,6
C011,S416,Deep,Warm,35-44,6
C011,S023,Deep,Warm,35-44,5
C012,S362,Medium,Neutral,35-44,6
C012,S074,Medium,Neutral,35-44,3
C012,S375,Medium,Neutral,35-44,8
C012,S156,Medium,Neutral,35-44,6
C012,S105,Medium,Neutral,35-44,7
C012,S395,Medium,Neutral,35-44,5
C012,S378,Medium,Neutral,35-44,6
C012,S125,Medium,Neutral,35-44,6
C012,S069,Medium,Neutral,35-44,9
C012,S451,Medium,Neutral,35-44,6
C012,S010,Medium,Neutral,35-44,6
C012,S195,Medium,Neutral,35-44,4
C012,S407,Medium,Neutral,35-44,7
C012,S085,Medium,Neutral,35-44,5
C012,S372,Medium,Neutral,35-44,6
C012,S389,Medium,Neutral,35-44,5
C012,S496,Medium,Neutral,35-44,6
C012,S031,Medium,Neutral,35-44,5
C012,S317,Medium,Neutral,35-44,7
C012,S409,Medium,Neutral,35-44,5
C012,S491,Medium,Neutral,35-44,4
C012,S492,Medium,Neutral,35-44,9
C012,S281,Medium,Neutral,35-44,6
C012,S357,Medium,Neutral,35-44,4
C012,S077,Medium,Neutral,35-44,7
C012,S462,Medium,Neutral,35-44,6
C012,S498,Medium,Neutral,35-44,7
C012,S212,Medium,Neutral,35-44,5
C012,S102,Medium,Neutral,35-44,7
C012,S335,Medium,Neutral,35-44,6
C012,S476,Medium,Neutral,35-44,7
C012,S337,Medium,Neutral,35-44,7
C012,S441,Medium,Neutral,35-44,7
C012,S174,Medium,Neutral,35-44,6
C012,S003,Medium,Neutral,35-44,6
C012,S334,Medium,Neutral,35-44,6
C012,S410,Medium,Neutral,35-44,4
C012,S071,Medium,Neutral,35-44,8
C012,S210,Medium,Neutral,35-44,8
C012,S064,Medium,Neutral,35-44,7
C012,S385,Medium,Neutral,35-44,6
C012,S094,Medium,Neutral,35-44,7
C012,S486,Medium,Neutral,35-44,4
C012,S186,Medium,Neutral,35-44,7
C012,S034,Medium,Neutral,35-44,7
C012,S078,Medium,Neutral,35-44,6
C012,S001,Medium,Neutral,35-44,6
C012,S012,Medium,Neutral,35-44,7
C012,S416,Medium,Neutral,35-44,7
C012,S023,Medium,Neutral,35-44,6
C013,S362,Tan,Warm,18-24,8
C013,S074,Tan,Warm,18-24,6
C013,S375,Tan,Warm,18-24,7
C013,S156,Tan,Warm,18-24,7
C013,S105,Tan,Warm,18-24,7
C013,S395,Tan,Warm,18-24,4
C013,S378,Tan,Warm,18-24,4
C013,S125,Tan,Warm,18-24,6
C013,S069,Tan,Warm,18-24,7
C013,S451,Tan,Warm,18-24,9
C013,S010,Tan,Warm,18-24,5
C013,S195,Tan,Warm,18-24,7
C013,S407,Tan,Warm,18-24,5
C013,S085,Tan,Warm,18-24,7
C013,S372,Tan,Warm,18-24,6
C013,S389,Tan,Warm,18-24,9
C013,S496,Tan,Warm,18-24,5
C013,S031,Tan,Warm,18-24,5
C013,S317,Tan,Warm,18-24,6
C013,S409,Tan,Warm,18-24,6
C013,S491,Tan,Warm,18-24,5
C013,S492,Tan,Warm,18-24,6
C013,S281,Tan,Warm,18-24,7
C013,S357,Tan,Warm,18-24,6
C013,S077,Tan,Warm,18-24,6
C013,S462,Tan,Warm,18-24,4
C013,S498,Tan,Warm,18-24,4
C013,S212,Tan,Warm,18-24,6
C013,S102,Tan,Warm,18-24,6
C013,S335,Tan,Warm,18-24,5
C013,S476,Tan,Warm,18-24,6
C013,S337,Tan,Warm,18-24,5
C013,S441,Tan,Warm,18-24,7
C013,S174,Tan,Warm,18-24,5
C013,S003,Tan,Warm,18-24,4
C013,S334,Tan,Warm,18-24,7
C013,S410,Tan,Warm,18-24,4
C013,S071,Tan,Warm,18-24,7
C013,S210,Tan,Warm,18-24,6
C013,S064,Tan,Warm,18-24,6
C013,S385,Tan,Warm,18-24,9
C013,S094,Tan,Warm,18-24,6
C013,S486,Tan,Warm,18-24,6
C013,S186,Tan,Warm,18-24,5
C013,S034,Tan,Warm,18-24,5
C013,S078,Tan,Warm,18-24,7
C013,S001,Tan,Warm,18-24,5
C013,S012,Tan,Warm,18-24,4
C013,S416,Tan,Warm,18-24,7
C013,S023,Tan,Warm,18-24,6
C014,S362,Deep,Warm,18-24,7
C014,S074,Deep,Warm,18-24,9
C014,S375,Deep,Warm,18-24,7
C014,S156,Deep,Warm,18-24,7
C014,S105,Deep,Warm,18-24,7
C014,S395,Deep,Warm,18-24,5
C014,S378,Deep,Warm,18-24,5
C014,S125,Deep,Warm,18-24,9
C014,S069,Deep,Warm,18-24,7
C014,S451,Deep,Warm,18-24,6
C014,S010,Deep,Warm,18-24,4
C014,S195,Deep,Warm,18-24,6
C014,S407,Deep,Warm,18-24,6
C014,S085,Deep,Warm,18-24,8
C014,S372,Deep,Warm,18-24,5
C014,S389,Deep,Warm,18-24,7
C014,S496,Deep,Warm,18-24,5
C014,S031,Deep,Warm,18-24,3
C014,S317,Deep,Warm,18-24,6
C014,S409,Deep,Warm,18-24,7
C014,S491,Deep,Warm,18-24,3
C014,S492,Deep,Warm,18-24,6
C014,S281,Deep,Warm,18-24,7
C014,S357,Deep,Warm,18-24,6
C014,S077,Deep,Warm,18-24,7
C014,S462,Deep,Warm,18-24,3
C014,S498,Deep,Warm,18-24,6
C014,S212,Deep,Warm,18-24,6
