consumer_id,shade_id,skin_tone,consumer_undertone,age_group,hedonic_score,image_file,color_family,undertone,finish,L_star,a_star,b_star,hue_deg,saturation,brightness
C001,S001,Fair,Neutral,18-24,6,IMG_001.png,Nude,Neutral,Glossy,67.64,6.24,9.49,56.65,53.13,67.01
C001,S012,Fair,Neutral,18-24,7,IMG_012.png,Pink,Neutral,Matte,57.46,29.6,-0.44,359.15,65.33,54.81
C001,S416,Fair,Neutral,18-24,5,IMG_416.png,Berry,Cool,Glossy,44.52,42.13,-10.82,345.6,74.33,43.28
C001,S023,Fair,Neutral,18-24,7,IMG_023.png,Pink,Warm,Glossy,59.29,31.43,20.39,32.97,79.16,61.5
C002,S362,Tan,Neutral,18-24,7,IMG_362.png,Coral,Warm,Glossy,44.59,39.79,42.75,47.06,100.0,42.55
C002,S074,Tan,Neutral,18-24,4,IMG_074.png,Brown,Warm,Satin,33.57,18.57,30.19,58.4,74.8,34.04
C002,S375,Tan,Neutral,18-24,6,IMG_375.png,Mauve,Warm,Matte,48.6,21.85,14.88,34.26,58.85,46.15
C002,S156,Tan,Neutral,18-24,8,IMG_156.png,Berry,Cool,Matte,49.66,32.99,2.37,4.12,81.61,49.8
C002,S105,Tan,Neutral,18-24,7,IMG_105.png,Orange,Neutral,Satin,43.96,31.98,45.0,54.6,95.09,43.2
C002,S395,Tan,Neutral,18-24,7,IMG_395.png,Pink,Neutral,Matte,63.76,31.9,3.06,5.49,67.76,62.34
C002,S378,Tan,Neutral,18-24,6,IMG_378.png,Plum,Cool,Satin,34.57,36.3,-11.39,342.58,79.39,34.97
C002,S125,Tan,Neutral,18-24,6,IMG_125.png,Brown,Warm,Satin,37.1,19.35,27.23,54.6,83.32,36.88
C002,S069,Tan,Neutral,18-24,8,IMG_069.png,Mauve,Warm,Satin,50.92,23.73,4.49,10.72,61.53,52.34
C002,S451,Tan,Neutral,18-24,7,IMG_451.png,Berry,Warm,Satin,46.36,43.95,-0.07,359.91,87.49,43.78
C002,S010,Tan,Neutral,18-24,5,IMG_010.png,Orange,Cool,Matte,64.14,27.86,33.47,50.22,86.36,65.06
C002,S195,Tan,Neutral,18-24,5,IMG_195.png,Plum,Warm,Matte,30.1,24.27,-9.32,338.99,62.78,30.42
C002,S407,Tan,Neutral,18-24,6,IMG_407.png,Coral,Cool,Matte,45.34,34.17,21.6,32.3,88.31,44.23
C002,S085,Tan,Neutral,18-24,7,IMG_085.png,Orange,Warm,Satin,44.61,33.92,42.86,51.64,93.54,46.28
C002,S372,Tan,Neutral,18-24,8,IMG_372.png,Berry,Neutral,Satin,51.76,37.7,9.95,14.78,80.47,50.23
C002,S389,Tan,Neutral,18-24,9,IMG_389.png,Berry,Neutral,Glossy,37.98,38.26,-5.12,352.38,79.83,35.73
C002,S496,Tan,Neutral,18-24,7,IMG_496.png,Orange,Neutral,Satin,63.61,26.61,43.06,58.29,94.45,62.31
C002,S031,Tan,Neutral,18-24,6,IMG_031.png,Plum,Neutral,Satin,29.74,29.53,-15.0,333.07,69.1,34.0
C002,S317,Tan,Neutral,18-24,5,IMG_317.png,Nude,Warm,Glossy,49.49,17.95,18.57,45.98,72.61,52.36
C002,S409,Tan,Neutral,18-24,6,IMG_409.png,Red,Neutral,Glossy,41.5,45.1,20.21,24.14,94.06,40.62
C002,S491,Tan,Neutral,18-24,6,IMG_491.png,Coral,Cool,Matte,63.93,27.99,18.86,33.97,73.98,62.27
C002,S492,Tan,Neutral,18-24,6,IMG_492.png,Mauve,Warm,Glossy,55.1,22.72,7.8,18.95,61.46,53.01
C002,S281,Tan,Neutral,18-24,3,IMG_281.png,Orange,Warm,Matte,60.83,29.03,43.83,56.48,100.0,60.4
C002,S357,Tan,Neutral,18-24,6,IMG_357.png,Brown,Cool,Matte,26.54,8.39,10.47,51.3,56.74,27.15
C002,S077,Tan,Neutral,18-24,6,IMG_077.png,Mauve,Warm,Matte,41.89,27.69,3.2,6.6,63.54,42.78
C002,S462,Tan,Neutral,18-24,5,IMG_462.png,Orange,Cool,Matte,62.73,31.4,31.55,45.13,93.64,64.55
C002,S498,Tan,Neutral,18-24,7,IMG_498.png,Pink,Neutral,Matte,62.17,31.28,11.43,20.08,85.25,62.51
C002,S212,Tan,Neutral,18-24,5,IMG_212.png,Plum,Cool,Matte,36.22,24.36,-15.0,328.38,59.84,36.7
C002,S102,Tan,Neutral,18-24,5,IMG_102.png,Orange,Neutral,Satin,67.72,35.5,37.34,46.45,90.45,67.09
C002,S335,Tan,Neutral,18-24,6,IMG_335.png,Orange,Neutral,Glossy,65.14,24.44,42.18,59.91,99.55,65.56
C002,S476,Tan,Neutral,18-24,7,IMG_476.png,Mauve,Warm,Matte,60.59,26.41,8.59,18.01,68.95,60.25
C002,S337,Tan,Neutral,18-24,8,IMG_337.png,Pink,Neutral,Satin,60.41,30.57,8.81,16.07,80.2,58.23
C002,S441,Tan,Neutral,18-24,7,IMG_441.png,Coral,Neutral,Satin,50.89,43.17,19.48,24.29,96.73,50.39
C002,S174,Tan,Neutral,18-24,6,IMG_174.png,Coral,Cool,Matte,60.02,33.42,19.58,30.36,79.89,60.94
C002,S003,Tan,Neutral,18-24,6,IMG_003.png,Nude,Cool,Glossy,61.7,15.08,5.74,20.85,56.97,60.84
C002,S334,Tan,Neutral,18-24,5,IMG_334.png,Pink,Warm,Glossy,53.81,29.68,12.52,22.87,80.21,54.8
C002,S410,Tan,Neutral,18-24,5,IMG_410.png,Pink,Cool,Glossy,72.37,34.7,6.55,10.69,81.42,73.34
C002,S071,Tan,Neutral,18-24,6,IMG_071.png,Mauve,Warm,Matte,46.67,24.65,9.83,21.74,65.36,48.47
C002,S210,Tan,Neutral,18-24,8,IMG_210.png,Mauve,Neutral,Satin,48.16,28.2,0.31,0.63,72.26,47.88
C002,S064,Tan,Neutral,18-24,6,IMG_064.png,Nude,Neutral,Matte,57.68,8.49,1.18,7.9,46.71,62.52
C002,S385,Tan,Neutral,18-24,8,IMG_385.png,Berry,Warm,Satin,54.08,40.96,-4.88,353.21,89.28,56.18
C002,S094,Tan,Neutral,18-24,6,IMG_094.png,Nude,Cool,Matte,52.28,4.76,16.16,73.58,53.43,48.56
C002,S486,Tan,Neutral,18-24,3,IMG_486.png,Coral,Cool,Satin,56.54,36.42,21.42,30.47,88.45,57.18
C002,S186,Tan,Neutral,18-24,7,IMG_186.png,Plum,Neutral,Satin,36.97,30.89,-11.08,340.27,75.99,35.73
C002,S034,Tan,Neutral,18-24,6,IMG_034.png,Mauve,Cool,Matte,54.83,30.06,0.19,0.36,73.34,54.83
C002,S078,Tan,Neutral,18-24,6,IMG_078.png,Plum,Warm,Satin,39.28,31.21,-5.96,349.19,72.75,39.35
C002,S001,Tan,Neutral,18-24,6,IMG_001.png,Nude,Neutral,Glossy,67.64,6.24,9.49,56.65,53.13,67.01
C002,S012,Tan,Neutral,18-24,8,IMG_012.png,Pink,Neutral,Matte,57.46,29.6,-0.44,359.15,65.33,54.81
C002,S416,Tan,Neutral,18-24,8,IMG_416.png,Berry,Cool,Glossy,44.52,42.13,-10.82,345.6,74.33,43.28
C002,S023,Tan,Neutral,18-24,6,IMG_023.png,Pink,Warm,Glossy,59.29,31.43,20.39,32.97,79.16,61.5
C003,S362,Medium,Cool,18-24,6,IMG_362.png,Coral,Warm,Glossy,44.59,39.79,42.75,47.06,100.0,42.55
C003,S074,Medium,Cool,18-24,5,IMG_074.png,Brown,Warm,Satin,33.57,18.57,30.19,58.4,74.8,34.04
C003,S375,Medium,Cool,18-24,5,IMG_375.png,Mauve,Warm,Matte,48.6,21.85,14.88,34.26,58.85,46.15
C003,S156,Medium,Cool,18-24,5,IMG_156.png,Berry,Cool,Matte,49.66,32.99,2.37,4.12,81.61,49.8
C003,S105,Medium,Cool,18-24,5,IMG_105.png,Orange,Neutral,Satin,43.96,31.98,45.0,54.6,95.09,43.2
C003,S395,Medium,Cool,18-24,6,IMG_395.png,Pink,Neutral,Matte,63.76,31.9,3.06,5.49,67.76,62.34
C003,S378,Medium,Cool,18-24,6,IMG_378.png,Plum,Cool,Satin,34.57,36.3,-11.39,342.58,79.39,34.97
C003,S125,Medium,Cool,18-24,5,IMG_125.png,Brown,Warm,Satin,37.1,19.35,27.23,54.6,83.32,36.88
C003,S069,Medium,Cool,18-24,6,IMG_069.png,Mauve,Warm,Satin,50.92,23.73,4.49,10.72,61.53,52.34
C003,S451,Medium,Cool,18-24,7,IMG_451.png,Berry,Warm,Satin,46.36,43.95,-0.07,359.91,87.49,43.78
C003,S010,Medium,Cool,18-24,6,IMG_010.png,Orange,Cool,Matte,64.14,27.86,33.47,50.22,86.36,65.06
C003,S195,Medium,Cool,18-24,5,IMG_195.png,Plum,Warm,Matte,30.1,24.27,-9.32,338.99,62.78,30.42
C003,S407,Medium,Cool,18-24,7,IMG_407.png,Coral,Cool,Matte,45.34,34.17,21.6,32.3,88.31,44.23
C003,S085,Medium,Cool,18-24,7,IMG_085.png,Orange,Warm,Satin,44.61,33.92,42.86,51.64,93.54,46.28
C003,S372,Medium,Cool,18-24,5,IMG_372.png,Berry,Neutral,Satin,51.76,37.7,9.95,14.78,80.47,50.23
C003,S389,Medium,Cool,18-24,5,IMG_389.png,Berry,Neutral,Glossy,37.98,38.26,-5.12,352.38,79.83,35.73
C003,S496,Medium,Cool,18-24,6,IMG_496.png,Orange,Neutral,Satin,63.61,26.61,43.06,58.29,94.45,62.31
C003,S031,Medium,Cool,18-24,6,IMG_031.png,Plum,Neutral,Satin,29.74,29.53,-15.0,333.07,69.1,34.0
C003,S317,Medium,Cool,18-24,8,IMG_317.png,Nude,Warm,Glossy,49.49,17.95,18.57,45.98,72.61,52.36
C003,S409,Medium,Cool,18-24,5,IMG_409.png,Red,Neutral,Glossy,41.5,45.1,20.21,24.14,94.06,40.62
C003,S491,Medium,Cool,18-24,7,IMG_491.png,Coral,Cool,Matte,63.93,27.99,18.86,33.97,73.98,62.27
C003,S492,Medium,Cool,18-24,6,IMG_492.png,Mauve,Warm,Glossy,55.1,22.72,7.8,18.95,61.46,53.01
C003,S281,Medium,Cool,18-24,5,IMG_281.png,Orange,Warm,Matte,60.83,29.03,43.83,56.48,100.0,60.4
C003,S357,Medium,Cool,18-24,5,IMG_357.png,Brown,Cool,Matte,26.54,8.39,10.47,51.3,56.74,27.15
C003,S077,Medium,Cool,18-24,6,IMG_077.png,Mauve,Warm,Matte,41.89,27.69,3.2,6.6,63.54,42.78
C003,S462,Medium,Cool,18-24,8,IMG_462.png,Orange,Cool,Matte,62.73,31.4,31.55,45.13,93.64,64.55
C003,S498,Medium,Cool,18-24,6,IMG_498.png,Pink,Neutral,Matte,62.17,31.28,11.43,20.08,85.25,62.51
C003,S212,Medium,Cool,18-24,6,IMG_212.png,Plum,Cool,Matte,36.22,24.36,-15.0,328.38,59.84,36.7
C003,S102,Medium,Cool,18-24,5,IMG_102.png,Orange,Neutral,Satin,67.72,35.5,37.34,46.45,90.45,67.09
C003,S335,Medium,Cool,18-24,6,IMG_335.png,Orange,Neutral,Glossy,65.14,24.44,42.18,59.91,99.55,65.56
C003,S476,Medium,Cool,18-24,5,IMG_476.png,Mauve,Warm,Matte,60.59,26.41,8.59,18.01,68.95,60.25
C003,S337,Medium,Cool,18-24,6,IMG_337.png,Pink,Neutral,Satin,60.41,30.57,8.81,16.07,80.2,58.23
C003,S441,Medium,Cool,18-24,6,IMG_441.png,Coral,Neutral,Satin,50.89,43.17,19.48,24.29,96.73,50.39
C003,S174,Medium,Cool,18-24,8,IMG_174.png,Coral,Cool,Matte,60.02,33.42,19.58,30.36,79.89,60.94
C003,S003,Medium,Cool,18-24,7,IMG_003.png,Nude,Cool,Glossy,61.7,15.08,5.74,20.85,56.97,60.84
C003,S334,Medium,Cool,18-24,6,IMG_334.png,Pink,Warm,Glossy,53.81,29.68,12.52,22.87,80.21,54.8
C003,S410,Medium,Cool,18-24,6,IMG_410.png,Pink,Cool,Glossy,72.37,34.7,6.55,10.69,81.42,73.34
C003,S071,Medium,Cool,18-24,7,IMG_071.png,Mauve,Warm,Matte,46.67,24.65,9.83,21.74,65.36,48.47
C003,S210,Medium,Cool,18-24,6,IMG_210.png,Mauve,Neutral,Satin,48.16,28.2,0.31,0.63,72.26,47.88
C003,S064,Medium,Cool,18-24,7,IMG_064.png,Nude,Neutral,Matte,57.68,8.49,1.18,7.9,46.71,62.52
C003,S385,Medium,Cool,18-24,5,IMG_385.png,Berry,Warm,Satin,54.08,40.96,-4.88,353.21,89.28,56.18
C003,S094,Medium,Cool,18-24,9,IMG_094.png,Nude,Cool,Matte,52.28,4.76,16.16,73.58,53.43,48.56
C003,S486,Medium,Cool,18-24,5,IMG_486.png,Coral,Cool,Satin,56.54,36.42,21.42,30.47,88.45,57.18
C003,S186,Medium,Cool,18-24,4,IMG_186.png,Plum,Neutral,Satin,36.97,30.89,-11.08,340.27,75.99,35.73
C003,S034,Medium,Cool,18-24,9,IMG_034.png,Mauve,Cool,Matte,54.83,30.06,0.19,0.36,73.34,54.83
C003,S078,Medium,Cool,18-24,5,IMG_078.png,Plum,Warm,Satin,39.28,31.21,-5.96,349.19,72.75,39.35
C003,S001,Medium,Cool,18-24,6,IMG_001.png,Nude,Neutral,Glossy,67.64,6.24,9.49,56.65,53.13,67.01
C003,S012,Medium,Cool,18-24,6,IMG_012.png,Pink,Neutral,Matte,57.46,29.6,-0.44,359.15,65.33,54.81
C003,S416,Medium,Cool,18-24,7,IMG_416.png,Berry,Cool,Glossy,44.52,42.13,-10.82,345.6,74.33,43.28
C003,S023,Medium,Cool,18-24,6,IMG_023.png,Pink,Warm,Glossy,59.29,31.43,20.39,32.97,79.16,61.5
C004,S362,Tan,Neutral,18-24,8,IMG_362.png,Coral,Warm,Glossy,44.59,39.79,42.75,47.06,100.0,42.55
C004,S074,Tan,Neutral,18-24,6,IMG_074.png,Brown,Warm,Satin,33.57,18.57,30.19,58.4,74.8,34.04
C004,S375,Tan,Neutral,18-24,6,IMG_375.png,Mauve,Warm,Matte,48.6,21.85,14.88,34.26,58.85,46.15
C004,S156,Tan,Neutral,18-24,8,IMG_156.png,Berry,Cool,Matte,49.66,32.99,2.37,4.12,81.61,49.8
C004,S105,Tan,Neutral,18-24,7,IMG_105.png,Orange,Neutral,Satin,43.96,31.98,45.0,54.6,95.09,43.2
C004,S395,Tan,Neutral,18-24,5,IMG_395.png,Pink,Neutral,Matte,63.76,31.9,3.06,5.49,67.76,62.34
C004,S378,Tan,Neutral,18-24,4,IMG_378.png,Plum,Cool,Satin,34.57,36.3,-11.39,342.58,79.39,34.97
C004,S125,Tan,Neutral,18-24,4,IMG_125.png,Brown,Warm,Satin,37.1,19.35,27.23,54.6,83.32,36.88
C004,S069,Tan,Neutral,18-24,5,IMG_069.png,Mauve,Warm,Satin,50.92,23.73,4.49,10.72,61.53,52.34
C004,S451,Tan,Neutral,18-24,7,IMG_451.png,Berry,Warm,Satin,46.36,43.95,-0.07,359.91,87.49,43.78
C004,S010,Tan,Neutral,18-24,5,IMG_010.png,Orange,Cool,Matte,64.14,27.86,33.47,50.22,86.36,65.06
C004,S195,Tan,Neutral,18-24,4,IMG_195.png,Plum,Warm,Matte,30.1,24.27,-9.32,338.99,62.78,30.42
C004,S407,Tan,Neutral,18-24,4,IMG_407.png,Coral,Cool,Matte,45.34,34.17,21.6,32.3,88.31,44.23
C004,S085,Tan,Neutral,18-24,5,IMG_085.png,Orange,Warm,Satin,44.61,33.92,42.86,51.64,93.54,46.28
C004,S372,Tan,Neutral,18-24,8,IMG_372.png,Berry,Neutral,Satin,51.76,37.7,9.95,14.78,80.47,50.23
C004,S389,Tan,Neutral,18-24,8,IMG_389.png,Berry,Neutral,Glossy,37.98,38.26,-5.12,352.38,79.83,35.73
C004,S496,Tan,Neutral,18-24,7,IMG_496.png,Orange,Neutral,Satin,63.61,26.61,43.06,58.29,94.45,62.31
C004,S031,Tan,Neutral,18-24,5,IMG_031.png,Plum,Neutral,Satin,29.74,29.53,-15.0,333.07,69.1,34.0
C004,S317,Tan,Neutral,18-24,7,IMG_317.png,Nude,Warm,Glossy,49.49,17.95,18.57,45.98,72.61,52.36
C004,S409,Tan,Neutral,18-24,7,IMG_409.png,Red,Neutral,Glossy,41.5,45.1,20.21,24.14,94.06,40.62
C004,S491,Tan,Neutral,18-24,5,IMG_491.png,Coral,Cool,Matte,63.93,27.99,18.86,33.97,73.98,62.27
C004,S492,Tan,Neutral,18-24,5,IMG_492.png,Mauve,Warm,Glossy,55.1,22.72,7.8,18.95,61.46,53.01
C004,S281,Tan,Neutral,18-24,5,IMG_281.png,Orange,Warm,Matte,60.83,29.03,43.83,56.48,100.0,60.4
C004,S357,Tan,Neutral,18-24,4,IMG_357.png,Brown,Cool,Matte,26.54,8.39,10.47,51.3,56.74,27.15
C004,S077,Tan,Neutral,18-24,6,IMG_077.png,Mauve,Warm,Matte,41.89,27.69,3.2,6.6,63.54,42.78
C004,S462,Tan,Neutral,18-24,5,IMG_462.png,Orange,Cool,Matte,62.73,31.4,31.55,45.13,93.64,64.55
C004,S498,Tan,Neutral,18-24,5,IMG_498.png,Pink,Neutral,Matte,62.17,31.28,11.43,20.08,85.25,62.51
C004,S212,Tan,Neutral,18-24,6,IMG_212.png,Plum,Cool,Matte,36.22,24.36,-15.0,328.38,59.84,36.7
C004,S102,Tan,Neutral,18-24,6,IMG_102.png,Orange,Neutral,Satin,67.72,35.5,37.34,46.45,90.45,67.09
C004,S335,Tan,Neutral,18-24,6,IMG_335.png,Orange,Neutral,Glossy,65.14,24.44,42.18,59.91,99.55,65.56
C004,S476,Tan,Neutral,18-24,5,IMG_476.png,Mauve,Warm,Matte,60.59,26.41,8.59,18.01,68.95,60.25
C004,S337,Tan,Neutral,18-24,6,IMG_337.png,Pink,Neutral,Satin,60.41,30.57,8.81,16.07,80.2,58.23
C004,S441,Tan,Neutral,18-24,6,IMG_441.png,Coral,Neutral,Satin,50.89,43.17,19.48,24.29,96.73,50.39
C004,S174,Tan,Neutral,18-24,5,IMG_174.png,Coral,Cool,Matte,60.02,33.42,19.58,30.36,79.89,60.94
C004,S003,Tan,Neutral,18-24,5,IMG_003.png,Nude,Cool,Glossy,61.7,15.08,5.74,20.85,56.97,60.84
C004,S334,Tan,Neutral,18-24,5,IMG_334.png,Pink,Warm,Glossy,53.81,29.68,12.52,22.87,80.21,54.8
C004,S410,Tan,Neutral,18-24,3,IMG_410.png,Pink,Cool,Glossy,72.37,34.7,6.55,10.69,81.42,73.34
C004,S071,Tan,Neutral,18-24,6,IMG_071.png,Mauve,Warm,Matte,46.67,24.65,9.83,21.74,65.36,48.47
C004,S210,Tan,Neutral,18-24,8,IMG_210.png,Mauve,Neutral,Satin,48.16,28.2,0.31,0.63,72.26,47.88
C004,S064,Tan,Neutral,18-24,6,IMG_064.png,Nude,Neutral,Matte,57.68,8.49,1.18,7.9,46.71,62.52
C004,S385,Tan,Neutral,18-24,9,IMG_385.png,Berry,Warm,Satin,54.08,40.96,-4.88,353.21,89.28,56.18
C004,S094,Tan,Neutral,18-24,7,IMG_094.png,Nude,Cool,Matte,52.28,4.76,16.16,73.58,53.43,48.56
C004,S486,Tan,Neutral,18-24,7,IMG_486.png,Coral,Cool,Satin,56.54,36.42,21.42,30.47,88.45,57.18
C004,S186,Tan,Neutral,18-24,7,IMG_186.png,Plum,Neutral,Satin,36.97,30.89,-11.08,340.27,75.99,35.73
C004,S034,Tan,Neutral,18-24,7,IMG_034.png,Mauve,Cool,Matte,54.83,30.06,0.19,0.36,73.34,54.83
C004,S078,Tan,Neutral,18-24,5,IMG_078.png,Plum,Warm,Satin,39.28,31.21,-5.96,349.19,72.75,39.35
C004,S001,Tan,Neutral,18-24,4,IMG_001.png,Nude,Neutral,Glossy,67.64,6.24,9.49,56.65,53.13,67.01
C004,S012,Tan,Neutral,18-24,6,IMG_012.png,Pink,Neutral,Matte,57.46,29.6,-0.44,359.15,65.33,54.81
C004,S416,Tan,Neutral,18-24,8,IMG_416.png,Berry,Cool,Glossy,44.52,42.13,-10.82,345.6,74.33,43.28
C004,S023,Tan,Neutral,18-24,6,IMG_023.png,Pink,Warm,Glossy,59.29,31.43,20.39,32.97,79.16,61.5
C005,S362,Light,Neutral,18-24,6,IMG_362.png,Coral,Warm,Glossy,44.59,39.79,42.75,47.06,100.0,42.55
C005,S074,Light,Neutral,18-24,6,IMG_074.png,Brown,Warm,Satin,33.57,18.57,30.19,58.4,74.8,34.04
C005,S375,Light,Neutral,18-24,6,IMG_375.png,Mauve,Warm,Matte,48.6,21.85,14.88,34.26,58.85,46.15
C005,S156,Light,Neutral,18-24,6,IMG_156.png,Berry,Cool,Matte,49.66,32.99,2.37,4.12,81.61,49.8
C005,S105,Light,Neutral,18-24,6,IMG_105.png,Orange,Neutral,Satin,43.96,31.98,45.0,54.6,95.09,43.2
C005,S395,Light,Neutral,18-24,6,IMG_395.png,Pink,Neutral,Matte,63.76,31.9,3.06,5.49,67.76,62.34
C005,S378,Light,Neutral,18-24,6,IMG_378.png,Plum,Cool,Satin,34.57,36.3,-11.39,342.58,79.39,34.97
C005,S125,Light,Neutral,18-24,5,IMG_125.png,Brown,Warm,Satin,37.1,19.35,27.23,54.6,83.32,36.88
C005,S069,Light,Neutral,18-24,5,IMG_069.png,Mauve,Warm,Satin,50.92,23.73,4.49,10.72,61.53,52.34
C005,S451,Light,Neutral,18-24,5,IMG_451.png,Berry,Warm,Satin,46.36,43.95,-0.07,359.91,87.49,43.78
