shade_name,color_family,finish,L_star,a_star,b_star,hue_deg,saturation,brightness,wax_pct,emollient_oil_pct,mattifying_agent_pct,film_former_pct,pigment_pct,additives_pct
Cinnamon Cloud,Orange,Glossy,52.41,30.27,35.49,49.54,69.97,51.95,4.71,72.99,0,14.17,5.34,2.79
Maroon Jam,Pink,Matte,63.74,21.5,8.75,22.15,34.82,60.21,15.06,64.89,5.33,4.06,8.03,2.63
Tomato Mulberry,Coral,Glasting,58.97,43.73,41.38,43.42,90.31,55.84,2.71,59.98,0,29.35,5.34,2.62
Pink Mousse,Coral,Matte,63.1,31.63,40.9,52.28,77.56,61.83,14.18,64.8,6.11,3.66,9.1,2.15
Blush Dusk,Nude,Satin,62.4,9.2,21.58,66.91,35.19,58.71,7.62,75.49,1,5.42,8.72,1.75
Brick Bare,Brown,Glossy,49.77,22.03,15,34.25,39.98,46.45,3.4,77.82,0,13.73,3.51,1.54
Bordeaux Dream,Plum,Satin,43.68,26.07,5.69,12.31,40.03,44.06,9.08,75.51,1.35,6.25,6.11,1.7
Chestnut,Berry,Matte,47.52,34.18,1.35,2.26,51.31,43.09,13.85,66.45,4.18,3.63,9.9,1.99
Blush Bare,Peach,Matte,59.3,17.9,20.78,49.26,41.14,56.1,15.04,60.49,5.33,5.5,11.76,1.88
Coral Wood,Coral,Satin,63.47,36.7,27.47,36.81,68.76,62.3,7.83,73.96,0.53,7.5,8.16,2.02
Mahogany Souffle,Brown,Matte,42.6,18.24,21.59,49.81,42.4,41.95,14.6,59.23,6.73,5.26,11.26,2.92
Terracotta,Pink,Glossy,64.22,26.3,14.15,28.28,44.8,61.06,2.6,81.72,0,10.91,3.08,1.69
Caramel Pop,Coral,Glossy,65.4,38.34,35.2,42.56,78.07,64.32,4.01,76.87,0,11.31,5.26,2.55
Chestnut Delight,Mauve,Glasting,55.98,33.26,6.9,11.72,50.95,55.78,2.53,61.4,0,30.86,2.59,2.62
Rose Souffle,Terracotta,Satin,44.2,28.18,12.7,24.26,46.36,43.46,7.96,74.53,1.73,4.38,9.86,1.54
Toffee Temptation,Nude,Glasting,67.29,15.67,21.73,54.2,40.19,63.9,1.62,58.25,0,33.67,4.37,2.09
Maple Blaze,Pink,Glasting,60.62,35.39,13.36,20.68,56.74,57.23,2.43,61.34,0,31.52,2.27,2.44
Sunset,Mauve,Glasting,52.59,35.42,14.61,22.42,57.47,47.41,1.2,58.9,0,32.8,4.7,2.4
Rust Charm,Pink,Satin,57.15,19.61,6.27,17.73,30.88,55.34,7.98,73.55,1.98,5.22,9.13,2.14
Espresso Temptation,Berry,Satin,41.28,39.75,4.83,6.93,60.06,39.46,8.98,72.7,1.26,6.97,7.36,2.73
Dusk,Brown,Matte,52.32,19.89,15.64,38.18,37.95,47.25,12.42,60.99,7.36,5.49,11.18,2.56
Pink Glow,Terracotta,Matte,52.49,30.36,12.74,22.76,49.39,51.64,13.74,60.34,6.57,3.81,12.83,2.71
Deep Berry Glaze,Coral,Glossy,54.33,37.22,33.32,41.84,74.93,53.37,3.61,76.25,0,12.61,4.93,2.6
Cappucino,Coral,Glasting,65.93,39.25,26.82,34.35,71.31,65.11,1.54,59.2,0,32.65,4.98,1.63
Burgundy Chiffon,Nude,Matte,61.56,8.32,8.13,44.34,17.45,60.31,15.53,62.4,4.85,4.83,10.32,2.07
Deep Berry,Berry,Matte,37.95,28.91,6.23,12.16,44.36,36.89,12.11,65.66,6.98,3.64,8.91,2.7
Cinnamon Nectar,Orange,Matte,56.83,47.99,39.07,39.15,92.82,51.63,13.36,62.7,7.08,3.83,11.51,1.52
Orange Bite,Pink,Satin,55.33,31.99,2.29,4.09,48.11,54.54,11.29,70.85,0.63,5.71,8.88,2.64
Maroon Silk,Peach,Glasting,68.43,15.83,20.64,52.51,39.02,66.66,2.38,60.74,0,29.93,4.26,2.69
Dusty,Berry,Glasting,33.42,27.01,8.58,17.62,42.51,33.35,1.19,62.54,0,31.53,2.78,1.96
Maroon Blaze,Red,Matte,50.36,46.87,21.18,24.32,77.15,47.49,14.33,62.46,5.66,4.28,10.65,2.62
Glow Spark,Peach,Matte,59.26,8.84,18.46,64.41,30.7,54.35,13.32,65.44,6.46,3.75,9.35,1.68
Terracotta Delight,Orange,Glasting,57.85,36.54,27.45,36.92,68.55,52.94,1.39,63.26,0,30.29,2.42,2.64
Mahogany Pop,Berry,Satin,36.1,24.3,11.48,25.29,40.31,32.14,8.24,73.5,0.82,6.54,7.94,2.96
Coral Satin,Pink,Glossy,63.48,23.24,6.95,16.65,36.39,61.14,3.57,79.91,0,10.6,4.13,1.79
Ruby Glow,Coral,Glossy,59.54,39.25,40.86,46.15,84.99,55.53,2.68,81.22,0,10.08,3.72,2.3
Dusk Chiffon,Red,Matte,45.8,42.68,29.02,34.21,77.42,44.41,13.1,61.94,7.41,5.09,10.77,1.69
Maple Mist,Pink,Matte,52.09,22.7,8.99,21.61,36.62,48.82,15.47,59.53,5.72,4.72,12.36,2.2
Ruby Delight,Nude,Glossy,68.39,7.01,13.81,63.09,23.23,62.56,3.32,79.72,0,10.31,3.74,2.91
Crimson Divine,Peach,Satin,61.92,13.97,11.04,38.32,26.71,58.49,9.41,74.56,1.73,4.26,7.6,2.44
Peachy,Nude,Matte,67.6,12.08,21.69,60.88,37.24,63.37,12.21,65.56,4.52,3.91,10.81,2.99
Roast Souffle,Peach,Glossy,69.02,7.67,19.62,68.65,31.6,65.89,2.36,75.25,0,13.64,6.06,2.69
Glow Kiss,Coral,Glossy,55.73,42.81,37.77,41.42,85.64,53.52,2.68,77.37,0,12.7,5.09,2.16
Tomato Wood,Nude,Matte,65.56,15.38,9.54,31.81,27.15,64.48,15.44,60.29,7.47,4.86,9.53,2.41
Terracotta Bare,Red,Matte,48.4,45.54,15.32,18.59,72.07,44.57,14.96,62.56,7.32,3.63,9.04,2.49
Terracotta Divine,Orange,Glasting,63.93,35.95,37.56,46.25,77.99,60.81,1.31,67.98,0,26.6,2.61,1.5
Pink Truffle,Red,Satin,51.07,33,30.66,42.89,67.57,50.72,9.3,74.77,1.39,4.81,7.17,2.56
Sunset Mist,Peach,Satin,71.5,5.79,14.71,68.51,23.71,67.33,10.31,69.85,1.18,7.23,8.75,2.68
Maroon Glow,Pink,Glossy,66.37,19.47,3.05,8.9,29.56,63.7,3.88,72.74,0,15.6,5.64,2.14
Red,Nude,Glasting,66.86,12.13,12.55,45.97,26.18,66.48,2.09,57.63,0,33.27,4.27,2.74
Sunset Pop,Berry,Matte,40.9,23.98,7.82,18.06,37.83,40.97,12.29,65.99,4.58,5.25,9.54,2.35
Pecan Spell,Pink,Glossy,53.87,27.03,4.97,10.42,41.22,50.21,2.87,76.95,0,14.13,3.5,2.55
Amber Breeze,Brown,Satin,41.71,22.25,22.64,45.5,47.61,38.87,11.27,73.66,1.25,4.28,7.98,1.56
Nude Brick,Red,Matte,47.66,40.57,17.6,23.45,66.33,42.64,13.73,65.68,5.13,3.27,9.25,2.94
Blush Spell,Coral,Satin,53.96,33.13,35.31,46.82,72.63,52.76,10.84,67.99,1.36,7.5,9.8,2.51
Sangria Silk,Mauve,Matte,60.81,25.03,9.51,20.8,40.16,56.05,13.08,64.11,4.14,4.41,11.78,2.48
Pink Glaze,Red,Matte,41.25,49.54,26.48,28.13,84.26,41.03,15.66,61.63,4.64,4.9,10.93,2.24
Tomato Mist,Pink,Glossy,56.32,21.63,3.86,10.12,32.96,54.45,2.27,78.83,0,12,4.39,2.51
Red Wood,Pink,Glasting,67.49,19.84,8.9,24.16,32.62,63.37,2.72,60.65,0,31.55,3.15,1.93
Amber,Nude,Glossy,62.36,9.22,21.18,66.48,34.65,59.82,4.84,73.43,0,13.3,6.25,2.18
Dusk Silk,Nude,Glossy,61.81,13.61,14.8,47.4,30.16,58.37,2.94,74.84,0,15.82,4.29,2.11
Tomato Kiss,Berry,Matte,32.05,30.6,1.97,3.68,46,31.52,14.06,60.44,7.46,4.63,11.29,2.12
Crimson Aura,Red,Glossy,35.77,41.09,26.99,33.3,73.74,31.03,2.56,76.01,0,14.54,4.45,2.44
Light Pink Kiss,Red,Satin,47.99,38.66,17.4,24.23,63.59,45.57,10.54,71.04,0.81,7.25,8.2,2.16
Cinnamon,Brown,Satin,49.59,18.91,20.94,47.92,42.32,48.12,10.29,71.15,0.68,6.13,9.89,1.86
Milk Tea Crush,Pink,Matte,63.36,26.72,7.98,16.63,41.83,57.66,12.63,64.41,5.93,3.28,10.76,2.99
Plum Bite,Coral,Glossy,58.47,39.72,27.79,34.98,72.71,54.98,4.74,76.96,0,10.7,4.85,2.75
Plum Mousse,Pink,Matte,61.13,34.64,13.96,21.95,56.02,55.6,13.99,62.39,6.51,3.82,10.54,2.75
Pink Souffle,Red,Glasting,41.81,33.81,32.41,43.79,70.25,41.19,2.96,61.7,0,30.41,2.85,2.08
Dusty Charm,Coral,Glossy,53.22,39.56,32.61,39.5,76.9,48.72,4.77,72.12,0,15.28,5.03,2.8
Carnation Glaze,Nude,Matte,71.42,13.39,10.07,36.95,25.13,65.47,13.1,62,6.77,5.8,10.07,2.26
Carnation Dream,Nude,Matte,65.89,12.53,17.54,54.46,32.33,64.89,15.28,62.48,4.99,4.76,9.49,3
Pecan Cloud,Mauve,Matte,61.29,21.02,2.89,7.83,31.83,57.88,13.96,64.46,4.52,4.04,10.69,2.33
Light Pink Jam,Pink,Matte,56.33,19.48,8,22.33,31.59,50.74,14.17,64.51,5.59,3.57,9.61,2.55
Nude Radiance,Red,Matte,44.87,53.95,29.78,28.9,92.44,39.87,14.29,63.26,4.82,3.13,11.88,2.62
Velvet Rosewood,Mauve,Satin,58.56,21.02,2.8,7.59,31.81,53.25,10.32,71.37,1.72,6.32,7.54,2.73
Roast Brick,Mauve,Glasting,53.11,22.95,7.69,18.52,36.31,50.09,2.96,64.76,0,26.3,3.73,2.25
Sunset Mousse,Brown,Glossy,56.52,21.59,24.39,48.48,48.86,54.77,3.77,72.34,0,15.25,6.48,2.16
Pink Spell,Nude,Glossy,61.98,14.41,17.19,50.03,33.65,61.32,3.58,75.15,0,14.33,4.83,2.11
Sienna Wood,Nude,Matte,62.34,13.53,17.27,51.92,32.91,57,14.62,62.57,4.54,5.91,10.35,2.01
Toffee Brick,Nude,Satin,63.27,15.29,19.38,51.73,37.03,61.13,10.27,69.08,1.47,6.98,9.41,2.79
Sienna Fudge,Berry,Glossy,30.33,28.18,11.32,21.89,45.55,27.86,3.14,75.64,0,14.31,4.27,2.64
Pink Radiance,Peach,Satin,69.69,16.49,8.53,27.35,27.85,65.23,10.99,73.1,0.55,6.21,6.27,2.88
Carnation Blaze,Nude,Matte,60.16,7.35,17.7,67.45,28.75,57.9,15.99,61.48,6.61,3.3,10.17,2.45
Ruby Souffle,Coral,Glasting,61.77,42.3,37.68,41.69,84.97,57.09,2.75,59.29,0,31.55,3.55,2.86
Peachy Mist,Orange,Glasting,64.55,45.79,25.88,29.47,78.9,62.39,1.09,63.71,0,28.35,4.79,2.06
Velvet Truffle,Pink,Glossy,55.07,25.64,8.86,19.06,40.69,55.11,2.44,76.35,0,13.4,5.12,2.69
Rose Blaze,Peach,Glasting,58.73,11.25,13.2,49.56,26.02,58.4,1.34,60.98,0,32.97,2.28,2.43
Toffee Aura,Plum,Satin,35.13,37.26,1.82,2.8,55.96,35.81,8.46,75.61,1.87,5.61,6.57,1.88
Dusty Truffle,Pink,Glasting,66.75,26.3,7.15,15.21,40.88,62.66,1.51,61.17,0,32.44,2.03,2.85
Orange Brick,Pink,Glasting,50.51,36.62,12.91,19.42,58.24,48.88,2.36,63.54,0,29.53,2.55,2.02
Mahogany Blaze,Berry,Satin,38.44,34.31,10.68,17.29,53.9,33.63,9.85,73.34,1.46,4.88,7.7,2.77
Latte Wood,Peach,Glasting,68.18,11.86,9.56,38.87,22.85,63.5,1.4,63.52,0,29.87,3.35,1.86
Brick,Nude,Glasting,60.01,10.58,16.61,57.5,29.54,55.45,2.14,57.97,0,33.94,4.01,1.94
Mocha Mulberry,Red,Glasting,36.46,54.42,16.35,16.72,85.23,34.79,2.96,62.19,0,28.2,4.3,2.35
Brick Radiance,Pink,Glasting,57.03,27.4,10.26,20.53,43.89,57.06,2.37,64.22,0,26.39,4.61,2.41
Rust Bloom,Pink,Glossy,51.22,22.82,10.54,24.79,37.7,46.28,3.49,75.47,0,11.72,6.62,2.7
Milk Tea Delight,Terracotta,Glossy,51.57,29.12,22.95,38.24,55.61,51.88,3.82,75.52,0,13.82,4.41,2.43
Mahogany Mulberry,Pink,Glasting,51.14,33.52,7.95,13.34,51.67,47.34,2.36,59.09,0,31.27,4.52,2.76
Maple Rosewood,Mauve,Matte,55.68,24.2,7.18,16.53,37.86,54.79,14.51,61.01,7.16,3.93,11.23,2.16
Mahogany,Coral,Satin,62.35,31.58,39.24,51.17,75.55,56.52,9.82,74.57,1.6,5.03,6.36,2.62
Pecan,Pink,Satin,64.39,26.74,7.2,15.07,41.54,60.81,8.2,73.24,0.7,7.4,8.16,2.3
Orange Charm,Orange,Glasting,59.94,36.44,40.49,48.01,81.71,57.06,2.83,61.46,0,28.06,4.91,2.74
Silk Mulberry,Peach,Glasting,62.5,6.04,17.25,70.7,27.42,58.21,1.96,59.24,0,31.97,4.82,2.01
Chestnut Glaze,Nude,Satin,68.18,16.85,16.61,44.59,35.49,64.38,7.96,73.37,1.94,7.38,6.56,2.79
Crush Breeze,Nude,Matte,69.22,13.83,21.34,57.05,38.14,63.62,14.9,57.37,7.43,5.41,12.84,2.05
Ruby Spark,Pink,Glasting,60.21,30.1,10.83,19.79,47.98,59.89,2.58,62.9,0,30.29,2.05,2.18
Ruby Truffle,Pink,Glossy,60.33,28.59,7.17,14.08,44.21,58.21,4.02,74.05,0,13.51,5.69,2.73
Jazz Dream,Nude,Glasting,70.79,6.53,18.85,70.89,29.92,68.47,2.88,65.33,0,27.87,2.38,1.54
Latte Pop,Coral,Glossy,67.98,29.6,24.71,39.86,57.84,62.03,4.65,72.78,0,15.49,5.25,1.83
Jazz Truffle,Nude,Matte,69.35,17.58,21.81,51.13,42.02,66.89,12.25,62.3,6.88,3.91,12.55,2.11
Toffee Crush,Nude,Glasting,62.07,8.9,10.21,48.92,20.32,60.22,1.28,62.74,0,28.43,5.31,2.24
