profile_id,region,shade,skin_tone,undertone,lip_pigmentation,lip_condition,hedonic_scale,preference
P001,Jawa Barat,Caramel,Light,Olive,Dark / Hyperpigmented,Dry,5,Color: Coral | Intensity: Natural | Finish: Satin | Mood: Soft | Occasion: Everyday
P094,Jawa Barat,Red,Fair,Warm,Light,Dry,6,Color: Brown | Intensity: Natural | Finish: Glossy | Mood: Bold | Occasion: Special occasion
P095,Jawa Barat,Red,Deep,Warm,Medium,Chapped,8,Color: Nude | Intensity: Medium | Finish: Glowy | Mood: Bold | Occasion: Date
P096,Jawa Barat,Red,Light,Olive,Light,Textured / Lines,6,Color: Berry | Intensity: Natural | Finish: Glowy | Mood: Fun | Occasion: Everyday
P097,DI Yogyakarta,Red,Fair,Cool,Two-Toned,Dry,6,Color: Mauve | Intensity: Bold | Finish: Satin | Mood: Fun | Occasion: Campus / Work
P098,Sulawesi Selatan,Red,Medium,Neutral,Medium,Dry,7,Color: Mauve | Intensity: Medium | Finish: Glowy | Mood: Bold | Occasion: Special occasion
P099,Banten,Red,Fair,Warm,Two-Toned,Chapped,6,Color: Brown | Intensity: Natural | Finish: Glossy | Mood: Fun | Occasion: Campus / Work
P100,Bali,Red,Light,Cool,Medium,Normal,3,Color: Terracotta | Intensity: Medium | Finish: Matte | Mood: Fun | Occasion: Date
P101,Jawa Timur,Nude Peach,Medium,Warm,Two-Toned,Textured / Lines,5,Color: Brown | Intensity: Medium | Finish: Glossy | Mood: Energetic | Occasion: Date
P102,Kalimantan Timur,Nude Peach,Medium,Cool,Medium,Chapped,5,Color: Nude | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Campus / Work
P103,DI Yogyakarta,Nude Peach,Tan,Neutral,Two-Toned,Dry,6,Color: Brown | Intensity: Bold | Finish: Glowy | Mood: Bold | Occasion: Party
P104,Bali,Nude Peach,Medium,Warm,Two-Toned,Chapped,7,Color: Pink | Intensity: Medium | Finish: Satin | Mood: Fun | Occasion: Campus / Work
P105,Banten,Nude Peach,Deep,Warm,Medium,Normal,5,Color: Berry | Intensity: Medium | Finish: Glossy | Mood: Fun | Occasion: Special occasion
P106,Sumatera Utara,Nude Peach,Deep,Neutral,Dark / Hyperpigmented,Dry,4,Color: Mauve | Intensity: Medium | Finish: Glossy | Mood: Energetic | Occasion: Campus / Work
P107,Jawa Barat,Nude Peach,Fair,Neutral,Dark / Hyperpigmented,Textured / Lines,5,Color: Berry | Intensity: Natural | Finish: Satin | Mood: Soft | Occasion: Campus / Work
P108,Bali,Nude Peach,Deep,Cool,Dark / Hyperpigmented,Textured / Lines,5,Color: Coral | Intensity: Natural | Finish: Satin | Mood: Energetic | Occasion: Campus / Work
P109,Sumatera Utara,Nude Peach,Light,Warm,Two-Toned,Dry,7,Color: Coral | Intensity: Natural | Finish: Satin | Mood: Energetic | Occasion: Everyday
P110,DKI Jakarta,Nude Peach,Light,Neutral,Medium,Normal,6,Color: Coral | Intensity: Bold | Finish: Satin | Mood: Bold | Occasion: Party
P111,Jawa Barat,Nude Peach,Medium,Neutral,Medium,Chapped,5,Color: Coral | Intensity: Medium | Finish: Glowy | Mood: Fun | Occasion: Date
P112,Jawa Timur,Nude Peach,Medium,Cool,Dark / Hyperpigmented,Dry,7,Color: Coral | Intensity: Medium | Finish: Matte | Mood: Fresh | Occasion: Party
P113,Bali,Nude Peach,Medium,Warm,Light,Normal,7,Color: Nude | Intensity: Natural | Finish: Satin | Mood: Elegant | Occasion: Date
P114,Jawa Barat,Nude Peach,Light,Cool,Medium,Dry,5,Color: Pink | Intensity: Bold | Finish: Glowy | Mood: Elegant | Occasion: Special occasion
P115,Kalimantan Timur,Nude Peach,Medium,Neutral,Medium,Dry,7,Color: Terracotta | Intensity: Medium | Finish: Glowy | Mood: Energetic | Occasion: Special occasion
P116,DI Yogyakarta,Nude Peach,Tan,Olive,Light,Textured / Lines,3,Color: Nude | Intensity: Bold | Finish: Matte | Mood: Soft | Occasion: Campus / Work
P117,Banten,Nude Peach,Light,Olive,Medium,Normal,6,Color: Red | Intensity: Natural | Finish: Satin | Mood: Elegant | Occasion: Everyday
P118,Jawa Timur,Nude Peach,Medium,Warm,Light,Normal,6,Color: Terracotta | Intensity: Medium | Finish: Glowy | Mood: Energetic | Occasion: Everyday
P119,Jawa Tengah,Nude Peach,Light,Warm,Dark / Hyperpigmented,Dry,4,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Fresh | Occasion: Campus / Work
P120,Banten,Nude Peach,Medium,Warm,Light,Normal,5,Color: Brown | Intensity: Medium | Finish: Matte | Mood: Elegant | Occasion: Campus / Work
P121,Jawa Timur,Pink Blush,Light,Warm,Light,Dry,5,Color: Red | Intensity: Natural | Finish: Matte | Mood: Soft | Occasion: Date
P122,Kalimantan Timur,Pink Blush,Light,Warm,Medium,Dry,5,Color: Coral | Intensity: Medium | Finish: Matte | Mood: Fun | Occasion: Date
P123,DI Yogyakarta,Pink Blush,Tan,Olive,Light,Normal,6,Color: Mauve | Intensity: Medium | Finish: Matte | Mood: Elegant | Occasion: Everyday
P124,DI Yogyakarta,Pink Blush,Medium,Neutral,Light,Normal,5,Color: Coral | Intensity: Natural | Finish: Matte | Mood: Soft | Occasion: Special occasion
P125,Kalimantan Timur,Pink Blush,Medium,Warm,Medium,Dry,3,Color: Coral | Intensity: Bold | Finish: Matte | Mood: Soft | Occasion: Party
P126,Sulawesi Selatan,Pink Blush,Fair,Warm,Dark / Hyperpigmented,Chapped,9,Color: Coral | Intensity: Natural | Finish: Glowy | Mood: Bold | Occasion: Party
P127,Jawa Barat,Pink Blush,Fair,Warm,Medium,Normal,7,Color: Berry | Intensity: Medium | Finish: Glossy | Mood: Energetic | Occasion: Everyday
P128,Jawa Timur,Pink Blush,Light,Warm,Light,Normal,5,Color: Terracotta | Intensity: Bold | Finish: Glowy | Mood: Energetic | Occasion: Party
P129,Sulawesi Selatan,Pink Blush,Fair,Neutral,Medium,Dry,4,Color: Mauve | Intensity: Natural | Finish: Glossy | Mood: Energetic | Occasion: Date
P130,Jawa Barat,Pink Blush,Medium,Cool,Light,Dry,8,Color: Nude | Intensity: Bold | Finish: Glowy | Mood: Fun | Occasion: Everyday
P131,Jawa Tengah,Pink Blush,Light,Warm,Medium,Normal,6,Color: Berry | Intensity: Bold | Finish: Glowy | Mood: Bold | Occasion: Party
P132,DKI Jakarta,Pink Blush,Medium,Cool,Medium,Textured / Lines,4,Color: Coral | Intensity: Bold | Finish: Satin | Mood: Energetic | Occasion: Party
P133,Bali,Pink Blush,Fair,Warm,Light,Normal,6,Color: Nude | Intensity: Bold | Finish: Satin | Mood: Bold | Occasion: Campus / Work
P134,Banten,Pink Blush,Light,Warm,Light,Chapped,6,Color: Nude | Intensity: Bold | Finish: Glowy | Mood: Fresh | Occasion: Campus / Work
P135,Jawa Barat,Pink Blush,Light,Olive,Light,Normal,5,Color: Pink | Intensity: Bold | Finish: Satin | Mood: Fun | Occasion: Date
P136,Sulawesi Selatan,Pink Blush,Deep,Neutral,Dark / Hyperpigmented,Normal,6,Color: Terracotta | Intensity: Medium | Finish: Glowy | Mood: Soft | Occasion: Party
P137,Sulawesi Selatan,Pink Blush,Tan,Cool,Medium,Normal,4,Color: Terracotta | Intensity: Natural | Finish: Satin | Mood: Fresh | Occasion: Date
P138,DI Yogyakarta,Pink Blush,Medium,Warm,Medium,Dry,4,Color: Coral | Intensity: Natural | Finish: Glossy | Mood: Bold | Occasion: Date
P139,Kalimantan Timur,Pink Blush,Fair,Cool,Medium,Dry,6,Color: Mauve | Intensity: Natural | Finish: Glowy | Mood: Elegant | Occasion: Party
P140,Sumatera Utara,Pink Blush,Light,Cool,Medium,Normal,5,Color: Terracotta | Intensity: Medium | Finish: Glossy | Mood: Soft | Occasion: Campus / Work
P141,Kalimantan Timur,Pink Fun,Fair,Olive,Medium,Chapped,5,Color: Brown | Intensity: Medium | Finish: Matte | Mood: Energetic | Occasion: Party
P142,DI Yogyakarta,Pink Fun,Light,Neutral,Dark / Hyperpigmented,Dry,2,Color: Red | Intensity: Medium | Finish: Matte | Mood: Soft | Occasion: Special occasion
P143,Kalimantan Timur,Pink Fun,Light,Olive,Dark / Hyperpigmented,Textured / Lines,5,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Elegant | Occasion: Party
P144,DKI Jakarta,Pink Fun,Fair,Neutral,Two-Toned,Normal,6,Color: Terracotta | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Party
P145,Banten,Pink Fun,Medium,Neutral,Light,Chapped,5,Color: Terracotta | Intensity: Bold | Finish: Matte | Mood: Energetic | Occasion: Special occasion
P146,DI Yogyakarta,Pink Fun,Light,Warm,Light,Chapped,6,Color: Mauve | Intensity: Bold | Finish: Matte | Mood: Elegant | Occasion: Everyday
P147,Jawa Tengah,Pink Fun,Light,Neutral,Medium,Chapped,8,Color: Brown | Intensity: Bold | Finish: Matte | Mood: Fun | Occasion: Everyday
P148,Jawa Barat,Pink Fun,Light,Warm,Medium,Normal,6,Color: Red | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Everyday
P149,Sumatera Utara,Pink Fun,Light,Neutral,Medium,Dry,8,Color: Coral | Intensity: Medium | Finish: Glossy | Mood: Fun | Occasion: Campus / Work
P150,Jawa Tengah,Pink Fun,Tan,Cool,Light,Textured / Lines,4,Color: Terracotta | Intensity: Bold | Finish: Satin | Mood: Soft | Occasion: Campus / Work
P151,Jawa Barat,Pink Fun,Fair,Neutral,Medium,Dry,7,Color: Terracotta | Intensity: Bold | Finish: Satin | Mood: Fun | Occasion: Special occasion
P152,Jawa Timur,Pink Fun,Tan,Neutral,Light,Normal,7,Color: Mauve | Intensity: Bold | Finish: Glossy | Mood: Fun | Occasion: Date
P153,DKI Jakarta,Pink Fun,Fair,Cool,Dark / Hyperpigmented,Chapped,5,Color: Coral | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Party
P154,Sumatera Utara,Pink Fun,Light,Neutral,Light,Chapped,5,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Bold | Occasion: Date
P155,Bali,Pink Fun,Medium,Warm,Light,Dry,4,Color: Brown | Intensity: Medium | Finish: Glowy | Mood: Fresh | Occasion: Campus / Work
P156,DI Yogyakarta,Pink Fun,Medium,Cool,Dark / Hyperpigmented,Dry,5,Color: Berry | Intensity: Bold | Finish: Glossy | Mood: Bold | Occasion: Date
P157,DKI Jakarta,Pink Fun,Light,Olive,Medium,Dry,4,Color: Coral | Intensity: Natural | Finish: Matte | Mood: Elegant | Occasion: Party
P158,Banten,Pink Fun,Light,Olive,Light,Dry,9,Color: Berry | Intensity: Natural | Finish: Satin | Mood: Elegant | Occasion: Date
P159,Jawa Timur,Pink Fun,Fair,Neutral,Two-Toned,Dry,6,Color: Nude | Intensity: Medium | Finish: Glowy | Mood: Fresh | Occasion: Special occasion
P160,Sumatera Utara,Pink Fun,Medium,Olive,Dark / Hyperpigmented,Normal,8,Color: Pink | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Party
P161,Jawa Timur,Berry Pink,Light,Neutral,Two-Toned,Textured / Lines,7,Color: Red | Intensity: Bold | Finish: Glossy | Mood: Elegant | Occasion: Special occasion
P162,Banten,Berry Pink,Light,Warm,Two-Toned,Chapped,6,Color: Coral | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Date
P163,Jawa Barat,Berry Pink,Medium,Warm,Light,Normal,7,Color: Pink | Intensity: Natural | Finish: Satin | Mood: Bold | Occasion: Party
P164,Sulawesi Selatan,Berry Pink,Medium,Warm,Medium,Normal,7,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Energetic | Occasion: Special occasion
P165,Jawa Barat,Berry Pink,Light,Warm,Dark / Hyperpigmented,Dry,6,Color: Berry | Intensity: Bold | Finish: Glossy | Mood: Elegant | Occasion: Party
P166,Sumatera Utara,Berry Pink,Light,Cool,Light,Normal,2,Color: Brown | Intensity: Medium | Finish: Matte | Mood: Elegant | Occasion: Special occasion
P167,Sumatera Utara,Berry Pink,Tan,Warm,Medium,Dry,6,Color: Brown | Intensity: Bold | Finish: Matte | Mood: Bold | Occasion: Party
P168,Banten,Berry Pink,Fair,Neutral,Light,Textured / Lines,5,Color: Pink | Intensity: Natural | Finish: Matte | Mood: Fresh | Occasion: Date
P169,Bali,Berry Pink,Fair,Olive,Medium,Dry,4,Color: Pink | Intensity: Natural | Finish: Satin | Mood: Fun | Occasion: Party
P170,Sumatera Utara,Berry Pink,Fair,Neutral,Light,Chapped,5,Color: Terracotta | Intensity: Bold | Finish: Satin | Mood: Fun | Occasion: Everyday
P171,Bali,Berry Pink,Fair,Cool,Medium,Normal,5,Color: Terracotta | Intensity: Medium | Finish: Matte | Mood: Bold | Occasion: Date
P172,Jawa Tengah,Berry Pink,Medium,Cool,Medium,Dry,7,Color: Mauve | Intensity: Natural | Finish: Glossy | Mood: Fresh | Occasion: Date
